commit d86cf13316a885dbc78fc33becbc718c6ff3468c
Merge: 8d65c8d ecc6010
Author: bors <bors@rust-lang.org>
Date:   Sat Dec 24 13:28:37 2016 +0000

    Auto merge of #38062 - alexcrichton:fix-line-writer, r=brson
    
    std: Fix partial writes in LineWriter
    
    Previously the `LineWriter` could successfully write some bytes but then fail to
    report that it has done so. Additionally, an erroneous flush after a successful
    write was permanently ignored. This commit fixes these two issues by (a)
    maintaining a `need_flush` flag to indicate whether a flush should be the first
    operation in `LineWriter::write` and (b) avoiding returning an error once some
    bytes have been successfully written.
    
    Closes #37807
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.241; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.076; rss: 166MB	name resolution
time: 0.059; rss: 200MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.047; rss: 177MB	region resolution
time: 0.008; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.477; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.056; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.025; rss: 197MB	coherence checking
time: 0.087; rss: 200MB	wf checking
time: 0.197; rss: 208MB	item-types checking
time: 3.694; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.214; rss: 277MB	const checking
time: 0.059; rss: 277MB	privacy checking
time: 0.020; rss: 283MB	intrinsic checking
time: 0.014; rss: 283MB	effect checking
time: 0.048; rss: 283MB	match checking
time: 0.046; rss: 290MB	liveness checking
time: 0.176; rss: 292MB	rvalue checking
time: 0.363; rss: 482MB	MIR dump
  time: 0.058; rss: 483MB	SimplifyCfg
  time: 0.075; rss: 483MB	QualifyAndPromoteConstants
  time: 0.122; rss: 500MB	TypeckMir
  time: 0.004; rss: 500MB	SimplifyBranches
  time: 0.032; rss: 500MB	SimplifyCfg
time: 0.291; rss: 500MB	MIR cleanup and validation
time: 0.473; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.038; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.178; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.275; rss: 533MB	ElaborateDrops
  time: 0.004; rss: 533MB	NoLandingPads
  time: 0.052; rss: 533MB	SimplifyCfg
  time: 0.029; rss: 532MB	InstCombine
  time: 0.012; rss: 532MB	Deaggregator
  time: 0.004; rss: 532MB	CopyPropagation
  time: 0.035; rss: 532MB	SimplifyLocals
  time: 0.010; rss: 532MB	AddCallGuards
  time: 0.003; rss: 532MB	PreTrans
time: 0.530; rss: 532MB	MIR optimisations
  time: 0.066; rss: 540MB	write metadata
  time: 0.400; rss: 554MB	translation item collection
  time: 0.072; rss: 556MB	codegen unit partitioning
  time: 0.070; rss: 1457MB	internalize symbols
time: 12.254; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.588; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1197MB	llvm function passes [2]
time: 0.000; rss: 1201MB	llvm module passes [2]
time: 0.001; rss: 1205MB	llvm function passes [0]
time: 0.000; rss: 1205MB	llvm module passes [0]
time: 0.001; rss: 1206MB	llvm function passes [1]
time: 0.000; rss: 1206MB	llvm module passes [1]
time: 0.002; rss: 1206MB	llvm function passes [3]
time: 0.000; rss: 1206MB	llvm module passes [3]
time: 0.002; rss: 1206MB	codegen passes [2]
time: 0.004; rss: 1206MB	llvm function passes [5]
time: 0.003; rss: 1206MB	codegen passes [0]
time: 0.002; rss: 1208MB	llvm module passes [5]
time: 0.001; rss: 1208MB	llvm function passes [34]
time: 0.000; rss: 1208MB	llvm module passes [34]
time: 0.011; rss: 1212MB	llvm function passes [6]
time: 0.008; rss: 1212MB	codegen passes [1]
time: 0.017; rss: 1216MB	llvm function passes [4]
time: 0.006; rss: 1216MB	llvm module passes [6]
time: 0.007; rss: 1220MB	llvm module passes [4]
time: 0.020; rss: 1220MB	codegen passes [3]
time: 0.019; rss: 1225MB	llvm function passes [1]
time: 0.013; rss: 1228MB	llvm function passes [3]
time: 0.009; rss: 1228MB	llvm module passes [1]
time: 0.000; rss: 1241MB	llvm function passes [31]
time: 0.000; rss: 1243MB	llvm module passes [31]
time: 0.059; rss: 1243MB	codegen passes [5]
time: 0.000; rss: 1243MB	llvm function passes [5]
time: 0.000; rss: 1243MB	llvm module passes [5]
time: 0.001; rss: 1245MB	llvm function passes [11]
time: 0.000; rss: 1245MB	llvm module passes [11]
time: 0.068; rss: 1245MB	codegen passes [34]
time: 0.000; rss: 1245MB	llvm function passes [34]
