commit 080e0e072f9c654893839cf1f7ea71dc153b08a9
Merge: f84008b 42e64bc
Author: bors <bors@rust-lang.org>
Date:   Mon Aug 8 14:59:30 2016 -0700

    Auto merge of #35064 - pthariensflame:feature/cow_str_from_iter, r=alexcrichton
    
    Add `FromIterator` implementations for `Cow<str>`
    
    This seems like an oversight, since the corresponding implementation for `Cow<[T]> where T: Clone` exists.
rustc: ./inflate-0.1.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling inflate v0.1.0 (file:///root/benchmarks/inflate-0.1.0)
time: 0.004; rss: 52MB	parsing
Lines of code:             956
Pre-expansion node count:  4738
time: 0.000; rss: 52MB	configuration
time: 0.000; rss: 52MB	recursion limit
time: 0.000; rss: 52MB	crate injection
time: 0.000; rss: 52MB	plugin loading
time: 0.000; rss: 52MB	plugin registration
time: 0.073; rss: 92MB	expansion
time: 0.000; rss: 92MB	maybe building test harness
time: 0.003; rss: 92MB	assigning node ids
Post-expansion node count: 55769
time: 0.000; rss: 92MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 92MB	complete gated feature checking
time: 0.005; rss: 92MB	collecting defs
time: 0.001; rss: 92MB	external crate/lib resolution
time: 0.002; rss: 92MB	early lint checks
time: 0.000; rss: 92MB	AST validation
time: 0.010; rss: 94MB	name resolution
time: 0.006; rss: 98MB	lowering ast -> hir
time: 0.001; rss: 100MB	indexing hir
time: 0.000; rss: 100MB	attribute checking
time: 0.001; rss: 98MB	language item collection
time: 0.001; rss: 98MB	lifetime resolution
time: 0.000; rss: 98MB	looking for entry point
time: 0.000; rss: 98MB	looking for plugin registrar
time: 0.004; rss: 98MB	region resolution
time: 0.000; rss: 98MB	loop checking
time: 0.000; rss: 98MB	static item recursion checking
time: 0.000; rss: 98MB	load_dep_graph
time: 0.002; rss: 100MB	type collecting
time: 0.000; rss: 100MB	variance inference
time: 0.010; rss: 101MB	coherence checking
time: 0.002; rss: 101MB	wf checking
time: 0.002; rss: 101MB	item-types checking
time: 2.591; rss: 116MB	item-bodies checking
time: 0.000; rss: 116MB	drop-impl checking
time: 0.015; rss: 117MB	const checking
time: 0.001; rss: 117MB	privacy checking
time: 0.000; rss: 117MB	stability index
time: 0.001; rss: 117MB	intrinsic checking
time: 0.001; rss: 117MB	effect checking
time: 0.004; rss: 117MB	match checking
time: 0.066; rss: 117MB	liveness checking
time: 0.011; rss: 117MB	rvalue checking
time: 0.032; rss: 131MB	MIR dump
time: 0.018; rss: 130MB	MIR passes
time: 0.247; rss: 129MB	borrow checking
time: 0.000; rss: 129MB	reachability checking
time: 0.003; rss: 129MB	death checking
time: 0.002; rss: 129MB	stability checking
time: 0.000; rss: 129MB	unused lib feature checking
time: 0.019; rss: 130MB	lint checking
time: 0.000; rss: 130MB	resolving dependency formats
time: 0.135; rss: 128MB	Prepare MIR codegen passes
  time: 0.003; rss: 129MB	write metadata
  time: 0.009; rss: 131MB	translation item collection
  time: 0.001; rss: 131MB	codegen unit partitioning
  time: 0.002; rss: 151MB	internalize symbols
time: 0.193; rss: 145MB	translation
time: 0.000; rss: 145MB	assert dep graph
time: 0.000; rss: 145MB	serialize dep graph
  time: 0.026; rss: 113MB	llvm function passes [0]
  time: 0.005; rss: 114MB	llvm module passes [0]
  time: 0.645; rss: 120MB	codegen passes [0]
  time: 0.000; rss: 119MB	codegen passes [0]
time: 0.710; rss: 119MB	LLVM passes
time: 0.000; rss: 119MB	serialize work products
time: 0.048; rss: 105MB	linking
done
