commit 51d2d3da8081df21c51ee7ef9ae174531bb6557e
Merge: abc57ab e06fbe1
Author: bors <bors@rust-lang.org>
Date:   Sun Jun 12 15:35:32 2016 -0700

    Auto merge of #34133 - m-decoster:master, r=GuillaumeGomez
    
    Add explanations for E0503 and E0508.
    
    (cannot use `..` because it was mutably borrowed, cannot move out of type `..`, a non-copy fixed-size array)
    
    Part of #32777.
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.155; rss: 68MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.012; rss: 68MB	configuration 1
time: 0.000; rss: 68MB	recursion limit
time: 0.000; rss: 68MB	crate injection
time: 0.000; rss: 68MB	plugin loading
time: 0.000; rss: 68MB	plugin registration
time: 0.048; rss: 103MB	expansion
time: 0.000; rss: 103MB	gated configuration checking
time: 0.000; rss: 103MB	maybe building test harness
time: 0.000; rss: 103MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 103MB	complete gated feature checking
Post-expansion node count: 65565
time: 0.007; rss: 103MB	assigning node ids
time: 0.001; rss: 103MB	collecting defs
time: 0.004; rss: 103MB	external crate/lib resolution
time: 0.008; rss: 103MB	early lint checks
time: 0.001; rss: 103MB	AST validation
time: 0.002; rss: 103MB	name resolution
time: 0.010; rss: 120MB	lowering ast -> hir
time: 0.002; rss: 122MB	indexing hir
time: 0.001; rss: 122MB	attribute checking
time: 0.001; rss: 113MB	language item collection
time: 0.001; rss: 113MB	lifetime resolution
time: 0.000; rss: 113MB	looking for entry point
time: 0.000; rss: 113MB	looking for plugin registrar
time: 0.007; rss: 120MB	region resolution
time: 0.001; rss: 120MB	loop checking
time: 0.002; rss: 120MB	static item recursion checking
time: 0.000; rss: 120MB	load_dep_graph
time: 0.000; rss: 120MB	type collecting
time: 0.000; rss: 120MB	variance inference
time: 0.005; rss: 123MB	coherence checking
time: 0.001; rss: 123MB	wf checking
time: 0.941; rss: 140MB	item-types checking
time: 0.000; rss: 140MB	item-bodies checking
time: 0.000; rss: 140MB	drop-impl checking
time: 0.022; rss: 143MB	const checking
time: 0.002; rss: 143MB	privacy checking
time: 0.001; rss: 143MB	stability index
time: 0.001; rss: 143MB	intrinsic checking
time: 0.001; rss: 143MB	effect checking
time: 0.001; rss: 143MB	match checking
time: 0.001; rss: 143MB	liveness checking
time: 0.000; rss: 143MB	rvalue checking
time: 0.053; rss: 143MB	MIR dump
time: 0.002; rss: 143MB	MIR passes
time: 0.001; rss: 143MB	borrow checking
time: 0.000; rss: 143MB	reachability checking
time: 0.001; rss: 143MB	death checking
time: 0.001; rss: 143MB	stability checking
time: 0.000; rss: 143MB	unused lib feature checking
time: 0.033; rss: 143MB	lint checking
time: 0.001; rss: 143MB	resolving dependency formats
time: 0.001; rss: 143MB	Prepare MIR codegen passes
  time: 0.000; rss: 144MB	write metadata
  time: 0.001; rss: 144MB	translation item collection
  time: 0.000; rss: 144MB	codegen unit partitioning
time: 0.087; rss: 158MB	translation
time: 0.000; rss: 158MB	assert dep graph
time: 0.000; rss: 158MB	serialize dep graph
  time: 0.003; rss: 106MB	llvm function passes [0]
  time: 0.000; rss: 106MB	llvm module passes [0]
  time: 0.161; rss: 108MB	codegen passes [0]
  time: 0.000; rss: 94MB	codegen passes [0]
time: 0.177; rss: 94MB	LLVM passes
  time: 0.187; rss: 94MB	running linker
time: 0.188; rss: 94MB	linking
done
