commit e7b2052f342ced11ca3c1e00e5c5ef55dfb0338c
Merge: 5eac68c e497d4a
Author: bors <bors@rust-lang.org>
Date:   Thu Oct 22 08:35:38 2015 +0000

    Auto merge of #28355 - DiamondLovesYou:pnacl-librustc-trans, r=alexcrichton
    
    r? @alexcrichton
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.027; rss: 38MB	parsing
time: 0.009; rss: 41MB	configuration 1
time: 0.000; rss: 41MB	recursion limit
time: 0.000; rss: 41MB	gated macro checking
time: 0.000; rss: 41MB	crate injection
time: 0.004; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.170; rss: 56MB	expansion
time: 0.005; rss: 56MB	complete gated feature checking 1
time: 0.030; rss: 56MB	configuration 2
time: 0.000; rss: 56MB	gated configuration checking
time: 0.012; rss: 56MB	maybe building test harness
time: 0.010; rss: 56MB	prelude injection
time: 0.001; rss: 56MB	checking that all macro invocations are gone
time: 0.000; rss: 56MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 56MB	complete gated feature checking 2
time: 0.010; rss: 56MB	assigning node ids
time: 0.007; rss: 60MB	lowering ast -> hir
time: 0.005; rss: 64MB	indexing hir
time: 0.000; rss: 64MB	attribute checking
time: 0.005; rss: 64MB	early lint checks
time: 0.003; rss: 64MB	external crate/lib resolution
time: 0.002; rss: 64MB	language item collection
time: 0.030; rss: 89MB	resolution
time: 0.002; rss: 89MB	lifetime resolution
time: 0.000; rss: 89MB	looking for entry point
time: 0.001; rss: 89MB	looking for plugin registrar
time: 0.005; rss: 89MB	region resolution
time: 0.001; rss: 89MB	loop checking
time: 0.001; rss: 89MB	static item recursion checking
time: 0.014; rss: 93MB	type collecting
time: 0.002; rss: 93MB	variance inference
time: 0.042; rss: 112MB	coherence checking
time: 0.027; rss: 112MB	wf checking (old)
time: 0.025; rss: 112MB	item-types checking
time: 0.527; rss: 129MB	item-bodies checking
time: 0.000; rss: 129MB	drop-impl checking
time: 0.085; rss: 131MB	wf checking (new)
time: 0.051; rss: 131MB	const checking
time: 0.009; rss: 131MB	privacy checking
time: 0.000; rss: 131MB	stability index
time: 0.004; rss: 131MB	intrinsic checking
time: 0.002; rss: 131MB	effect checking
time: 0.012; rss: 131MB	match checking
time: 0.059; rss: 148MB	MIR dump
time: 0.006; rss: 148MB	liveness checking
time: 0.076; rss: 148MB	borrow checking
time: 0.053; rss: 150MB	rvalue checking
time: 0.003; rss: 150MB	reachability checking
time: 0.007; rss: 150MB	death checking
time: 0.006; rss: 150MB	stability checking
time: 0.000; rss: 150MB	unused lib feature checking
time: 0.044; rss: 150MB	lint checking
time: 0.000; rss: 150MB	resolving dependency formats
time: 1.440; rss: 288MB	translation
  time: 0.101; rss: 173MB	llvm function passes
  time: 0.051; rss: 173MB	llvm module passes
  time: 1.700; rss: 219MB	codegen passes
  time: 0.001; rss: 179MB	codegen passes
time: 2.079; rss: 179MB	LLVM passes
time: 0.176; rss: 179MB	linking
done
