commit 71bdeea561355ba5adbc9a1f44f4f866a75a15c4
Merge: 528c6f3 7de83f0
Author: bors <bors@rust-lang.org>
Date:   Thu Aug 25 11:28:30 2016 -0700

    Auto merge of #34923 - eddyb:deny-fn-item-transmute, r=nikomatsakis
    
    Deny (by default) transmuting from fn item types to pointer-sized types.
    
    This sets the #19925 lint (transmute from zero-sized fn item type) to `deny` by default.
    Technically a `[breaking-change]`, but will not affect dependent crates because of `--cap-lints`.
rustc: ./regex.0.1.30
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling regex v0.1.30 (file:///root/benchmarks/regex.0.1.30)
time: 0.052; rss: 57MB	parsing
Lines of code:             8558
Pre-expansion node count:  58076
time: 0.005; rss: 58MB	configuration
time: 0.000; rss: 58MB	recursion limit
time: 0.000; rss: 58MB	crate injection
time: 0.000; rss: 58MB	plugin loading
time: 0.000; rss: 58MB	plugin registration
time: 0.029; rss: 78MB	expansion
time: 0.000; rss: 78MB	maybe building test harness
time: 0.003; rss: 78MB	assigning node ids
Post-expansion node count: 68148
time: 0.000; rss: 78MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 78MB	complete gated feature checking
time: 0.001; rss: 78MB	collecting defs
time: 0.001; rss: 78MB	external crate/lib resolution
time: 0.004; rss: 78MB	early lint checks
time: 0.000; rss: 78MB	AST validation
time: 0.006; rss: 80MB	name resolution
time: 0.008; rss: 90MB	lowering ast -> hir
time: 0.002; rss: 92MB	indexing hir
time: 0.001; rss: 92MB	attribute checking
time: 0.001; rss: 83MB	language item collection
time: 0.001; rss: 83MB	lifetime resolution
time: 0.000; rss: 83MB	looking for entry point
time: 0.000; rss: 83MB	looking for plugin registrar
time: 0.006; rss: 85MB	region resolution
time: 0.001; rss: 85MB	loop checking
time: 0.001; rss: 85MB	static item recursion checking
time: 0.008; rss: 86MB	compute_incremental_hashes_map
time: 0.000; rss: 86MB	load_dep_graph
time: 0.008; rss: 87MB	type collecting
time: 0.000; rss: 87MB	variance inference
time: 0.020; rss: 90MB	coherence checking
time: 0.010; rss: 90MB	wf checking
time: 0.255; rss: 98MB	item-types checking
time: 0.156; rss: 100MB	item-bodies checking
time: 0.000; rss: 100MB	drop-impl checking
time: 0.026; rss: 103MB	const checking
time: 0.004; rss: 103MB	privacy checking
time: 0.001; rss: 103MB	stability index
time: 0.002; rss: 103MB	intrinsic checking
time: 0.001; rss: 103MB	effect checking
time: 0.004; rss: 103MB	match checking
time: 0.002; rss: 103MB	liveness checking
time: 0.008; rss: 103MB	rvalue checking
time: 0.042; rss: 118MB	MIR dump
time: 0.020; rss: 118MB	MIR passes
time: 0.021; rss: 118MB	borrow checking
time: 0.000; rss: 118MB	reachability checking
time: 0.002; rss: 118MB	death checking
time: 0.002; rss: 118MB	stability checking
time: 0.000; rss: 118MB	unused lib feature checking
time: 0.025; rss: 118MB	lint checking
time: 0.000; rss: 118MB	resolving dependency formats
time: 0.018; rss: 120MB	Prepare MIR codegen passes
  time: 0.159; rss: 130MB	write metadata
  time: 0.048; rss: 132MB	translation item collection
  time: 0.007; rss: 132MB	codegen unit partitioning
  time: 0.014; rss: 155MB	internalize symbols
time: 0.655; rss: 149MB	translation
time: 0.000; rss: 149MB	assert dep graph
time: 0.000; rss: 149MB	serialize dep graph
  time: 0.036; rss: 109MB	llvm function passes [0]
  time: 0.019; rss: 111MB	llvm module passes [0]
  time: 0.673; rss: 115MB	codegen passes [0]
  time: 0.001; rss: 115MB	codegen passes [0]
time: 0.787; rss: 115MB	LLVM passes
time: 0.000; rss: 115MB	serialize work products
time: 0.065; rss: 87MB	linking
done
