commit 52e024f2d1bc003ae0d9aaf281f48bb02d23167d
Merge: 0d558d0 769c557
Author: bors <bors@rust-lang.org>
Date:   Wed Dec 14 23:37:21 2016 +0000

    Auto merge of #38374 - alexcrichton:makefile-fix, r=brson
    
    mk: Fix `make check`
    
    When the rustc-unicode crate was renamed to std-unicode we just need to continue
    to filter it out of the crates being tested.
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.241; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.058; rss: 199MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 153MB	language item collection
time: 0.011; rss: 155MB	lifetime resolution
time: 0.000; rss: 155MB	looking for entry point
time: 0.000; rss: 155MB	looking for plugin registrar
time: 0.046; rss: 176MB	region resolution
time: 0.007; rss: 176MB	loop checking
time: 0.002; rss: 176MB	static item recursion checking
time: 0.382; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.058; rss: 189MB	type collecting
time: 0.004; rss: 189MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.087; rss: 199MB	wf checking
time: 0.202; rss: 208MB	item-types checking
time: 3.619; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.218; rss: 276MB	const checking
time: 0.058; rss: 277MB	privacy checking
time: 0.021; rss: 283MB	intrinsic checking
time: 0.014; rss: 283MB	effect checking
time: 0.049; rss: 283MB	match checking
time: 0.046; rss: 290MB	liveness checking
time: 0.170; rss: 292MB	rvalue checking
time: 0.359; rss: 481MB	MIR dump
  time: 0.056; rss: 483MB	SimplifyCfg
  time: 0.074; rss: 483MB	QualifyAndPromoteConstants
  time: 0.119; rss: 500MB	TypeckMir
  time: 0.004; rss: 500MB	SimplifyBranches
  time: 0.031; rss: 500MB	SimplifyCfg
time: 0.285; rss: 500MB	MIR cleanup and validation
time: 0.470; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.038; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.180; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.271; rss: 528MB	ElaborateDrops
  time: 0.004; rss: 528MB	NoLandingPads
  time: 0.052; rss: 528MB	SimplifyCfg
  time: 0.028; rss: 528MB	InstCombine
  time: 0.012; rss: 528MB	Deaggregator
  time: 0.004; rss: 528MB	CopyPropagation
  time: 0.035; rss: 528MB	SimplifyLocals
  time: 0.010; rss: 528MB	AddCallGuards
  time: 0.003; rss: 528MB	PreTrans
time: 0.524; rss: 528MB	MIR optimisations
  time: 0.064; rss: 537MB	write metadata
  time: 0.396; rss: 549MB	translation item collection
  time: 0.073; rss: 554MB	codegen unit partitioning
  time: 0.049; rss: 1456MB	internalize symbols
time: 11.694; rss: 1456MB	translation
time: 0.000; rss: 1456MB	assert dep graph
time: 1.362; rss: 1484MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1196MB	llvm function passes [1]
time: 0.000; rss: 1198MB	llvm module passes [1]
time: 0.001; rss: 1205MB	llvm function passes [0]
time: 0.000; rss: 1205MB	llvm module passes [0]
time: 0.001; rss: 1207MB	llvm function passes [2]
time: 0.000; rss: 1207MB	llvm module passes [2]
time: 0.002; rss: 1207MB	llvm function passes [3]
time: 0.000; rss: 1207MB	llvm module passes [3]
time: 0.001; rss: 1207MB	codegen passes [1]
time: 0.004; rss: 1207MB	llvm function passes [5]
time: 0.005; rss: 1207MB	codegen passes [0]
time: 0.002; rss: 1207MB	llvm module passes [5]
time: 0.008; rss: 1209MB	codegen passes [2]
time: 0.011; rss: 1209MB	llvm function passes [6]
time: 0.001; rss: 1209MB	llvm function passes [2]
time: 0.000; rss: 1209MB	llvm module passes [2]
time: 0.018; rss: 1218MB	llvm function passes [4]
time: 0.007; rss: 1220MB	llvm module passes [4]
time: 0.013; rss: 1220MB	llvm module passes [6]
time: 0.019; rss: 1228MB	codegen passes [2]
time: 0.000; rss: 1228MB	llvm function passes [2]
time: 0.000; rss: 1228MB	llvm module passes [2]
time: 0.001; rss: 1228MB	codegen passes [2]
time: 0.003; rss: 1228MB	llvm function passes [2]
time: 0.001; rss: 1228MB	llvm module passes [2]
time: 0.039; rss: 1233MB	codegen passes [3]
time: 0.014; rss: 1233MB	llvm function passes [13]
time: 0.000; rss: 1233MB	llvm function passes [3]
time: 0.000; rss: 1233MB	llvm module passes [3]
time: 0.008; rss: 1235MB	llvm module passes [13]
time: 0.001; rss: 1237MB	llvm function passes [16]
time: 0.000; rss: 1237MB	llvm module passes [16]
time: 0.028; rss: 1237MB	llvm function passes [8]
time: 0.017; rss: 1237MB	codegen passes [3]
time: 0.000; rss: 1237MB	llvm function passes [3]
time: 0.000; rss: 1237MB	llvm module passes [3]
