commit 6fa61b810dc95ca3e8bbda1681229f855f214fc4
Merge: fef6c64 3df35a0
Author: bors <bors@rust-lang.org>
Date:   Fri Apr 15 20:26:19 2016 -0700

    Auto merge of #32785 - tbu-:pr_more_defaults, r=alexcrichton
    
    Implement `Default` for more types in the standard library
    
    Also add `Hash` to `std::cmp::Ordering` and most possible traits to
    `fmt::Error`.
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.149; rss: 60MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.011; rss: 60MB	configuration 1
time: 0.000; rss: 60MB	recursion limit
time: 0.001; rss: 60MB	gated macro checking
time: 0.000; rss: 60MB	crate injection
time: 0.004; rss: 63MB	macro loading
time: 0.000; rss: 63MB	plugin loading
time: 0.000; rss: 63MB	plugin registration
time: 0.042; rss: 69MB	expansion
time: 0.001; rss: 69MB	complete gated feature checking 1
time: 0.011; rss: 69MB	configuration 2
time: 0.000; rss: 69MB	gated configuration checking
time: 0.006; rss: 69MB	maybe building test harness
time: 0.005; rss: 69MB	prelude injection
time: 0.000; rss: 69MB	checking that all macro invocations are gone
time: 0.000; rss: 69MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 69MB	complete gated feature checking 2
time: 0.001; rss: 69MB	const fn bodies and arguments
Post-expansion node count: 65565
time: 0.006; rss: 69MB	assigning node ids
time: 0.009; rss: 83MB	lowering ast -> hir
time: 0.002; rss: 85MB	indexing hir
time: 0.001; rss: 85MB	attribute checking
time: 0.008; rss: 85MB	early lint checks
time: 0.001; rss: 71MB	external crate/lib resolution
time: 0.001; rss: 71MB	language item collection
time: 0.002; rss: 75MB	resolution
time: 0.001; rss: 75MB	lifetime resolution
time: 0.000; rss: 75MB	looking for entry point
time: 0.000; rss: 75MB	looking for plugin registrar
time: 0.007; rss: 81MB	region resolution
time: 0.001; rss: 81MB	loop checking
time: 0.001; rss: 81MB	static item recursion checking
time: 0.000; rss: 81MB	load_dep_graph
time: 0.000; rss: 81MB	type collecting
time: 0.000; rss: 81MB	variance inference
time: 0.006; rss: 89MB	coherence checking
time: 0.001; rss: 89MB	wf checking
time: 0.761; rss: 193MB	item-types checking
time: 0.000; rss: 193MB	item-bodies checking
time: 0.000; rss: 193MB	drop-impl checking
time: 0.019; rss: 195MB	const checking
time: 0.002; rss: 195MB	privacy checking
time: 0.000; rss: 195MB	stability index
time: 0.000; rss: 195MB	intrinsic checking
time: 0.000; rss: 195MB	effect checking
time: 0.000; rss: 195MB	match checking
time: 0.001; rss: 195MB	liveness checking
time: 0.000; rss: 195MB	rvalue checking
time: 0.001; rss: 195MB	MIR dump
time: 0.000; rss: 195MB	MIR passes
time: 0.001; rss: 195MB	borrow checking
time: 0.000; rss: 195MB	reachability checking
time: 0.001; rss: 195MB	death checking
time: 0.001; rss: 195MB	stability checking
time: 0.000; rss: 195MB	unused lib feature checking
time: 0.030; rss: 195MB	lint checking
time: 0.001; rss: 195MB	resolving dependency formats
time: 0.000; rss: 195MB	Prepare MIR codegen passes
  time: 0.001; rss: 204MB	translation item collection
  time: 0.000; rss: 204MB	codegen unit partitioning
  time: 0.000; rss: 208MB	write metadata
time: 0.087; rss: 208MB	translation
time: 0.000; rss: 208MB	assert dep graph
time: 0.000; rss: 208MB	serialize dep graph
  time: 0.003; rss: 87MB	llvm function passes [0]
  time: 0.000; rss: 87MB	llvm module passes [0]
  time: 0.165; rss: 89MB	codegen passes [0]
  time: 0.000; rss: 76MB	codegen passes [0]
time: 0.181; rss: 76MB	LLVM passes
  time: 0.193; rss: 76MB	running linker
time: 0.194; rss: 76MB	linking
done
