commit 5d3ec6b0a0f6f95412235dc5a6b5d416187a01f3
Merge: aa7a2e9 2b093b7
Author: bors <bors@rust-lang.org>
Date:   Wed Dec 14 06:26:21 2016 +0000

    Auto merge of #38332 - bluss:copy-prop-arguments, r=eddyb
    
    Allow copy-propagation of function arguments
    
    Allow propagating function argument locals in copy propagation.
rustc: ./syntex-0.42.2
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.247; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.076; rss: 166MB	name resolution
time: 0.059; rss: 199MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 153MB	language item collection
time: 0.011; rss: 155MB	lifetime resolution
time: 0.000; rss: 155MB	looking for entry point
time: 0.000; rss: 155MB	looking for plugin registrar
time: 0.047; rss: 176MB	region resolution
time: 0.008; rss: 176MB	loop checking
time: 0.002; rss: 176MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.056; rss: 189MB	type collecting
time: 0.004; rss: 189MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.089; rss: 199MB	wf checking
time: 0.197; rss: 208MB	item-types checking
time: 3.590; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.220; rss: 276MB	const checking
time: 0.059; rss: 277MB	privacy checking
time: 0.021; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.050; rss: 283MB	match checking
time: 0.049; rss: 290MB	liveness checking
time: 0.180; rss: 292MB	rvalue checking
time: 0.369; rss: 481MB	MIR dump
  time: 0.056; rss: 483MB	SimplifyCfg
  time: 0.076; rss: 483MB	QualifyAndPromoteConstants
  time: 0.120; rss: 500MB	TypeckMir
  time: 0.005; rss: 500MB	SimplifyBranches
  time: 0.033; rss: 500MB	SimplifyCfg
time: 0.289; rss: 500MB	MIR cleanup and validation
time: 0.481; rss: 500MB	borrow checking
time: 0.026; rss: 500MB	reachability checking
time: 0.044; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.184; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.065; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.272; rss: 528MB	ElaborateDrops
  time: 0.004; rss: 528MB	NoLandingPads
  time: 0.052; rss: 528MB	SimplifyCfg
  time: 0.029; rss: 528MB	InstCombine
  time: 0.012; rss: 528MB	Deaggregator
  time: 0.004; rss: 528MB	CopyPropagation
  time: 0.035; rss: 528MB	SimplifyLocals
  time: 0.010; rss: 528MB	AddCallGuards
  time: 0.003; rss: 528MB	PreTrans
time: 0.527; rss: 528MB	MIR optimisations
  time: 0.066; rss: 537MB	write metadata
  time: 0.400; rss: 551MB	translation item collection
  time: 0.072; rss: 555MB	codegen unit partitioning
  time: 0.049; rss: 1456MB	internalize symbols
time: 11.987; rss: 1456MB	translation
time: 0.000; rss: 1456MB	assert dep graph
time: 1.456; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1195MB	llvm function passes [0]
time: 0.000; rss: 1195MB	llvm module passes [0]
time: 0.001; rss: 1201MB	llvm function passes [2]
time: 0.000; rss: 1205MB	llvm module passes [2]
time: 0.002; rss: 1218MB	llvm function passes [1]
time: 0.000; rss: 1218MB	llvm module passes [1]
time: 0.003; rss: 1222MB	llvm function passes [3]
time: 0.000; rss: 1222MB	llvm module passes [3]
time: 0.003; rss: 1222MB	llvm function passes [4]
time: 0.001; rss: 1233MB	llvm function passes [10]
time: 0.001; rss: 1233MB	llvm module passes [10]
time: 0.012; rss: 1247MB	llvm function passes [5]
time: 0.015; rss: 1250MB	llvm function passes [6]
time: 0.006; rss: 1252MB	llvm module passes [6]
time: 0.000; rss: 1252MB	llvm function passes [13]
time: 0.000; rss: 1256MB	llvm module passes [13]
time: 0.019; rss: 1260MB	llvm function passes [21]
time: 0.023; rss: 1260MB	llvm module passes [4]
time: 0.024; rss: 1262MB	llvm function passes [36]
time: 0.009; rss: 1262MB	llvm module passes [21]
time: 0.010; rss: 1264MB	llvm module passes [36]
time: 0.000; rss: 1266MB	llvm function passes [15]
time: 0.036; rss: 1266MB	llvm module passes [5]
time: 0.029; rss: 1266MB	llvm function passes [11]
time: 0.045; rss: 1266MB	llvm function passes [39]
time: 0.047; rss: 1266MB	llvm function passes [24]
time: 0.016; rss: 1266MB	llvm module passes [15]
time: 0.015; rss: 1271MB	llvm module passes [11]
time: 0.012; rss: 1271MB	llvm module passes [39]
time: 0.011; rss: 1271MB	llvm module passes [24]
time: 0.000; rss: 1283MB	llvm function passes [16]
time: 0.000; rss: 1283MB	llvm module passes [16]
time: 0.057; rss: 1302MB	llvm function passes [14]
time: 0.000; rss: 1304MB	llvm module passes [14]
time: 0.074; rss: 1321MB	llvm function passes [28]
time: 0.064; rss: 1325MB	llvm function passes [20]
time: 0.001; rss: 1325MB	llvm module passes [20]
