commit 85b031b3bc78b673cdbbf578112028ec7b798443
Merge: 078aff8 85a90a3
Author: bors <bors@rust-lang.org>
Date:   Sun Dec 6 13:23:43 2015 +0000

    Auto merge of #30234 - vyp:doc-typo, r=apasel422
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.029; rss: 42MB	parsing
time: 0.010; rss: 42MB	configuration 1
time: 0.000; rss: 42MB	recursion limit
time: 0.000; rss: 42MB	gated macro checking
time: 0.000; rss: 42MB	crate injection
time: 0.004; rss: 47MB	macro loading
time: 0.000; rss: 47MB	plugin loading
time: 0.000; rss: 47MB	plugin registration
time: 0.187; rss: 57MB	expansion
time: 0.005; rss: 57MB	complete gated feature checking 1
time: 0.034; rss: 57MB	configuration 2
time: 0.000; rss: 57MB	gated configuration checking
time: 0.013; rss: 57MB	maybe building test harness
time: 0.011; rss: 57MB	prelude injection
time: 0.001; rss: 57MB	checking that all macro invocations are gone
time: 0.000; rss: 57MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 57MB	complete gated feature checking 2
time: 0.010; rss: 57MB	assigning node ids
time: 0.008; rss: 61MB	lowering ast -> hir
time: 0.005; rss: 65MB	indexing hir
time: 0.000; rss: 65MB	attribute checking
time: 0.005; rss: 65MB	early lint checks
time: 0.003; rss: 68MB	external crate/lib resolution
time: 0.001; rss: 68MB	language item collection
time: 0.030; rss: 92MB	resolution
time: 0.002; rss: 92MB	lifetime resolution
time: 0.000; rss: 92MB	looking for entry point
time: 0.000; rss: 92MB	looking for plugin registrar
time: 0.006; rss: 92MB	region resolution
time: 0.001; rss: 92MB	loop checking
time: 0.001; rss: 92MB	static item recursion checking
time: 0.014; rss: 96MB	type collecting
time: 0.000; rss: 96MB	variance inference
time: 0.038; rss: 115MB	coherence checking
time: 0.028; rss: 117MB	wf checking (old)
time: 0.026; rss: 117MB	item-types checking
time: 0.538; rss: 134MB	item-bodies checking
time: 0.000; rss: 134MB	drop-impl checking
time: 0.089; rss: 134MB	wf checking (new)
time: 0.042; rss: 134MB	const checking
time: 0.009; rss: 134MB	privacy checking
time: 0.001; rss: 134MB	stability index
time: 0.004; rss: 134MB	intrinsic checking
time: 0.002; rss: 134MB	effect checking
time: 0.012; rss: 134MB	match checking
time: 0.049; rss: 140MB	MIR dump
time: 0.006; rss: 142MB	liveness checking
time: 0.068; rss: 142MB	borrow checking
time: 0.034; rss: 144MB	rvalue checking
time: 0.003; rss: 144MB	reachability checking
time: 0.006; rss: 144MB	death checking
time: 0.005; rss: 144MB	stability checking
time: 0.000; rss: 144MB	unused lib feature checking
time: 0.045; rss: 144MB	lint checking
time: 0.000; rss: 144MB	resolving dependency formats
time: 0.008; rss: 147MB	erasing regions from MIR
time: 1.393; rss: 280MB	translation
  time: 0.100; rss: 179MB	llvm function passes [0]
  time: 0.050; rss: 180MB	llvm module passes [0]
  time: 1.675; rss: 224MB	codegen passes [0]
  time: 0.001; rss: 183MB	codegen passes [0]
time: 2.052; rss: 183MB	LLVM passes
time: 0.173; rss: 184MB	linking
done
