commit 0d1b9f4614a086e92a81f45b46c73d5e4b6ad94d
Merge: ace092f 75fe727
Author: bors <bors@rust-lang.org>
Date:   Tue Dec 13 12:28:14 2016 +0000

    Auto merge of #38309 - sfackler:rfc-1725, r=alexcrichton
    
    Implement RFC #1725 (read_unaligned, write_unaligned)
    
    cc #37955
    
    r? @alexcrichton
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.091; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.241; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.058; rss: 199MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.046; rss: 176MB	region resolution
time: 0.008; rss: 176MB	loop checking
time: 0.002; rss: 176MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.055; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.090; rss: 199MB	wf checking
time: 0.196; rss: 208MB	item-types checking
time: 3.586; rss: 265MB	item-bodies checking
time: 0.000; rss: 265MB	drop-impl checking
time: 0.218; rss: 277MB	const checking
time: 0.057; rss: 277MB	privacy checking
time: 0.020; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.049; rss: 283MB	match checking
time: 0.049; rss: 290MB	liveness checking
time: 0.177; rss: 292MB	rvalue checking
time: 0.362; rss: 481MB	MIR dump
  time: 0.057; rss: 483MB	SimplifyCfg
  time: 0.074; rss: 483MB	QualifyAndPromoteConstants
  time: 0.120; rss: 500MB	TypeckMir
  time: 0.004; rss: 500MB	SimplifyBranches
  time: 0.031; rss: 500MB	SimplifyCfg
time: 0.286; rss: 500MB	MIR cleanup and validation
time: 0.471; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.038; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.178; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.272; rss: 528MB	ElaborateDrops
  time: 0.003; rss: 528MB	NoLandingPads
  time: 0.053; rss: 529MB	SimplifyCfg
  time: 0.028; rss: 528MB	InstCombine
  time: 0.012; rss: 528MB	Deaggregator
  time: 0.004; rss: 528MB	CopyPropagation
  time: 0.034; rss: 528MB	SimplifyLocals
  time: 0.010; rss: 528MB	AddCallGuards
  time: 0.003; rss: 528MB	PreTrans
time: 0.525; rss: 528MB	MIR optimisations
  time: 0.065; rss: 537MB	write metadata
  time: 0.391; rss: 549MB	translation item collection
  time: 0.072; rss: 556MB	codegen unit partitioning
  time: 0.048; rss: 1456MB	internalize symbols
time: 11.810; rss: 1456MB	translation
time: 0.000; rss: 1456MB	assert dep graph
time: 1.374; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1199MB	llvm function passes [2]
time: 0.000; rss: 1201MB	llvm module passes [2]
time: 0.001; rss: 1205MB	llvm function passes [0]
time: 0.000; rss: 1205MB	llvm module passes [0]
time: 0.001; rss: 1209MB	llvm function passes [1]
time: 0.000; rss: 1209MB	llvm module passes [1]
time: 0.003; rss: 1209MB	llvm function passes [5]
time: 0.010; rss: 1215MB	llvm function passes [3]
time: 0.000; rss: 1215MB	llvm module passes [3]
time: 0.001; rss: 1215MB	llvm function passes [9]
time: 0.000; rss: 1215MB	llvm module passes [9]
time: 0.008; rss: 1215MB	llvm module passes [5]
time: 0.011; rss: 1215MB	llvm function passes [6]
time: 0.013; rss: 1217MB	codegen passes [2]
time: 0.017; rss: 1217MB	llvm function passes [4]
time: 0.006; rss: 1217MB	llvm module passes [6]
time: 0.008; rss: 1220MB	llvm module passes [4]
time: 0.018; rss: 1224MB	llvm function passes [2]
time: 0.020; rss: 1224MB	llvm function passes [10]
time: 0.009; rss: 1228MB	llvm module passes [2]
time: 0.013; rss: 1228MB	llvm module passes [10]
time: 0.047; rss: 1230MB	codegen passes [1]
time: 0.039; rss: 1230MB	codegen passes [0]
time: 0.069; rss: 1251MB	codegen passes [9]
time: 0.029; rss: 1251MB	llvm function passes [0]
time: 0.000; rss: 1251MB	llvm function passes [9]
time: 0.000; rss: 1251MB	llvm module passes [9]
time: 0.001; rss: 1251MB	codegen passes [9]
time: 0.035; rss: 1251MB	llvm function passes [12]
time: 0.070; rss: 1257MB	llvm function passes [11]
time: 0.082; rss: 1260MB	codegen passes [3]
time: 0.023; rss: 1262MB	llvm module passes [0]
time: 0.000; rss: 1262MB	llvm function passes [14]
time: 0.000; rss: 1262MB	llvm module passes [14]
time: 0.022; rss: 1262MB	llvm module passes [12]
time: 0.027; rss: 1268MB	llvm function passes [15]
