commit 49b232edaf09970cba682750c217db9603f8582e
Merge: 1d792a6 b83235f
Author: bors <bors@rust-lang.org>
Date:   Sun Oct 25 06:48:21 2015 +0000

    Auto merge of #29261 - apasel422:issue-22403, r=alexcrichton
    
    Closes #22403.
    
    r? @pnkfelix
rustc: ./piston-image-0.3.11
cargo rustc -- -Ztime-passes
   Compiling image v0.3.11 (file:///root/benchmarks/piston-image-0.3.11)
time: 0.039; rss: 45MB	parsing
time: 0.013; rss: 45MB	configuration 1
time: 0.000; rss: 45MB	recursion limit
time: 0.001; rss: 45MB	gated macro checking
time: 0.000; rss: 45MB	crate injection
time: 0.004; rss: 50MB	macro loading
time: 0.000; rss: 50MB	plugin loading
time: 0.000; rss: 50MB	plugin registration
time: 0.106; rss: 54MB	expansion
time: 0.003; rss: 54MB	complete gated feature checking 1
time: 0.021; rss: 54MB	configuration 2
time: 0.000; rss: 54MB	gated configuration checking
time: 0.011; rss: 54MB	maybe building test harness
time: 0.010; rss: 54MB	prelude injection
time: 0.001; rss: 54MB	checking that all macro invocations are gone
time: 0.000; rss: 54MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 54MB	complete gated feature checking 2
time: 0.011; rss: 54MB	assigning node ids
time: 0.012; rss: 65MB	lowering ast -> hir
time: 0.006; rss: 69MB	indexing hir
time: 0.000; rss: 69MB	attribute checking
time: 0.007; rss: 69MB	early lint checks
time: 0.004; rss: 70MB	external crate/lib resolution
time: 0.002; rss: 70MB	language item collection
time: 0.039; rss: 91MB	resolution
time: 0.002; rss: 91MB	lifetime resolution
time: 0.000; rss: 91MB	looking for entry point
time: 0.001; rss: 91MB	looking for plugin registrar
time: 0.010; rss: 96MB	region resolution
time: 0.001; rss: 96MB	loop checking
time: 0.001; rss: 96MB	static item recursion checking
time: 0.013; rss: 97MB	type collecting
time: 0.003; rss: 97MB	variance inference
time: 0.039; rss: 116MB	coherence checking
time: 0.025; rss: 116MB	wf checking (old)
time: 0.049; rss: 121MB	item-types checking
time: 1.580; rss: 153MB	item-bodies checking
time: 0.000; rss: 153MB	drop-impl checking
time: 0.132; rss: 153MB	wf checking (new)
time: 0.079; rss: 153MB	const checking
time: 0.012; rss: 153MB	privacy checking
time: 0.000; rss: 153MB	stability index
time: 0.009; rss: 153MB	intrinsic checking
time: 0.003; rss: 153MB	effect checking
time: 0.024; rss: 153MB	match checking
time: 0.098; rss: 180MB	MIR dump
time: 0.011; rss: 180MB	liveness checking
time: 0.154; rss: 182MB	borrow checking
time: 0.095; rss: 182MB	rvalue checking
time: 0.003; rss: 182MB	reachability checking
time: 0.011; rss: 182MB	death checking
time: 0.008; rss: 182MB	stability checking
time: 0.000; rss: 182MB	unused lib feature checking
time: 0.074; rss: 182MB	lint checking
time: 0.000; rss: 182MB	resolving dependency formats
time: 2.813; rss: 299MB	translation
  time: 0.097; rss: 165MB	llvm function passes
  time: 0.044; rss: 165MB	llvm module passes
  time: 1.735; rss: 215MB	codegen passes
  time: 0.001; rss: 182MB	codegen passes
time: 2.073; rss: 182MB	LLVM passes
time: 0.150; rss: 184MB	linking
done
