commit 2f95de3b3b99954f48f189bcca195eb43c67844e
Merge: 69b2fce 53f0269
Author: bors <bors@rust-lang.org>
Date:   Tue Dec 1 23:35:54 2015 +0000

    Auto merge of #30129 - tbu-:pr_doc_arrays_coerce, r=steveklabnik
    
    Fixes #29993.
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.028; rss: 38MB	parsing
time: 0.009; rss: 42MB	configuration 1
time: 0.000; rss: 42MB	recursion limit
time: 0.000; rss: 42MB	gated macro checking
time: 0.000; rss: 42MB	crate injection
time: 0.004; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.175; rss: 56MB	expansion
time: 0.005; rss: 56MB	complete gated feature checking 1
time: 0.029; rss: 56MB	configuration 2
time: 0.000; rss: 56MB	gated configuration checking
time: 0.013; rss: 56MB	maybe building test harness
time: 0.010; rss: 56MB	prelude injection
time: 0.001; rss: 56MB	checking that all macro invocations are gone
time: 0.000; rss: 56MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 56MB	complete gated feature checking 2
time: 0.010; rss: 56MB	assigning node ids
time: 0.008; rss: 61MB	lowering ast -> hir
time: 0.005; rss: 63MB	indexing hir
time: 0.000; rss: 63MB	attribute checking
time: 0.005; rss: 63MB	early lint checks
time: 0.003; rss: 64MB	external crate/lib resolution
time: 0.001; rss: 64MB	language item collection
time: 0.031; rss: 91MB	resolution
time: 0.002; rss: 91MB	lifetime resolution
time: 0.000; rss: 91MB	looking for entry point
time: 0.000; rss: 91MB	looking for plugin registrar
time: 0.006; rss: 91MB	region resolution
time: 0.001; rss: 91MB	loop checking
time: 0.001; rss: 91MB	static item recursion checking
time: 0.013; rss: 95MB	type collecting
time: 0.000; rss: 95MB	variance inference
time: 0.039; rss: 110MB	coherence checking
time: 0.027; rss: 112MB	wf checking (old)
time: 0.026; rss: 112MB	item-types checking
time: 0.532; rss: 133MB	item-bodies checking
time: 0.000; rss: 133MB	drop-impl checking
time: 0.085; rss: 133MB	wf checking (new)
time: 0.042; rss: 133MB	const checking
time: 0.009; rss: 133MB	privacy checking
time: 0.001; rss: 133MB	stability index
time: 0.004; rss: 133MB	intrinsic checking
time: 0.002; rss: 133MB	effect checking
time: 0.013; rss: 133MB	match checking
time: 0.048; rss: 139MB	MIR dump
time: 0.006; rss: 141MB	liveness checking
time: 0.068; rss: 141MB	borrow checking
time: 0.034; rss: 143MB	rvalue checking
time: 0.003; rss: 143MB	reachability checking
time: 0.006; rss: 143MB	death checking
time: 0.005; rss: 143MB	stability checking
time: 0.000; rss: 143MB	unused lib feature checking
time: 0.044; rss: 143MB	lint checking
time: 0.000; rss: 143MB	resolving dependency formats
time: 0.008; rss: 145MB	erasing regions from MIR
time: 1.400; rss: 278MB	translation
  time: 0.099; rss: 176MB	llvm function passes [0]
  time: 0.053; rss: 177MB	llvm module passes [0]
  time: 1.678; rss: 221MB	codegen passes [0]
  time: 0.001; rss: 176MB	codegen passes [0]
time: 2.060; rss: 173MB	LLVM passes
time: 0.176; rss: 174MB	linking
done
