commit 8fc73c703ab175577346773ad93de3aa2c3f44a2
Merge: b14af1e 7c64bf1
Author: bors <bors@rust-lang.org>
Date:   Wed Feb 3 17:19:10 2016 +0000

    Auto merge of #31056 - kamalmarhubi:std-process-nul-chars, r=alexcrichton
    
    This reports an error at the point of calling `Command::spawn()` or one of
    its equivalents.
    
    Fixes #30858
    Fixes #30862
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.022; rss: 41MB	parsing
Lines of code:             6441
Pre-expansion node count:  30335
time: 0.006; rss: 41MB	configuration 1
time: 0.000; rss: 41MB	recursion limit
time: 0.000; rss: 41MB	gated macro checking
time: 0.000; rss: 41MB	crate injection
time: 0.003; rss: 44MB	macro loading
time: 0.000; rss: 44MB	plugin loading
time: 0.000; rss: 44MB	plugin registration
time: 0.047; rss: 47MB	expansion
time: 0.001; rss: 47MB	complete gated feature checking 1
time: 0.008; rss: 47MB	configuration 2
time: 0.000; rss: 47MB	gated configuration checking
time: 0.004; rss: 47MB	maybe building test harness
time: 0.004; rss: 47MB	prelude injection
time: 0.000; rss: 47MB	checking that all macro invocations are gone
time: 0.000; rss: 47MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 47MB	complete gated feature checking 2
Post-expansion node count: 41783
time: 0.004; rss: 47MB	assigning node ids
time: 0.004; rss: 50MB	lowering ast -> hir
time: 0.001; rss: 50MB	indexing hir
time: 0.000; rss: 50MB	attribute checking
time: 0.002; rss: 50MB	early lint checks
time: 0.001; rss: 50MB	external crate/lib resolution
time: 0.000; rss: 50MB	language item collection
time: 0.008; rss: 57MB	resolution
time: 0.000; rss: 57MB	lifetime resolution
time: 0.000; rss: 57MB	looking for entry point
time: 0.000; rss: 57MB	looking for plugin registrar
time: 0.002; rss: 59MB	region resolution
time: 0.000; rss: 59MB	loop checking
time: 0.000; rss: 59MB	static item recursion checking
time: 0.005; rss: 62MB	type collecting
time: 0.000; rss: 62MB	variance inference
time: 0.019; rss: 76MB	coherence checking
time: 0.015; rss: 76MB	wf checking
time: 0.013; rss: 78MB	item-types checking
time: 0.198; rss: 87MB	item-bodies checking
time: 0.000; rss: 87MB	drop-impl checking
time: 0.011; rss: 87MB	const checking
time: 0.002; rss: 87MB	privacy checking
time: 0.000; rss: 87MB	stability index
time: 0.001; rss: 87MB	intrinsic checking
time: 0.000; rss: 87MB	effect checking
time: 0.006; rss: 87MB	match checking
time: 0.017; rss: 91MB	MIR dump
time: 0.002; rss: 91MB	liveness checking
time: 0.023; rss: 91MB	borrow checking
time: 0.006; rss: 91MB	rvalue checking
time: 0.000; rss: 91MB	reachability checking
time: 0.002; rss: 91MB	death checking
time: 0.002; rss: 91MB	stability checking
time: 0.000; rss: 91MB	unused lib feature checking
time: 0.017; rss: 94MB	lint checking
time: 0.000; rss: 94MB	resolving dependency formats
time: 0.002; rss: 94MB	erasing regions from MIR
  time: 0.056; rss: 143MB	write metadata
time: 0.339; rss: 143MB	translation
  time: 0.027; rss: 106MB	llvm function passes [0]
  time: 0.060; rss: 108MB	llvm module passes [0]
  time: 0.565; rss: 129MB	codegen passes [0]
  time: 0.000; rss: 125MB	codegen passes [0]
time: 0.722; rss: 125MB	LLVM passes
time: 0.052; rss: 126MB	linking
done
