commit 2008732975de0f274719f44a6024bdefb01e5db6
Merge: 0e17ba5 f216f1f
Author: bors <bors@rust-lang.org>
Date:   Sun Nov 27 10:39:41 2016 -0600

    Auto merge of #37983 - GuillaumeGomez:tcp_listener_doc, r=frewsxcv
    
    Add examples for TcpListener struct
    
    r? @frewsxcv
rustc: ./syntex-0.42.2
cargo rustc -p syntex_syntax  -- -Ztime-passes -Zinput-stats
   Compiling syntex_syntax v0.42.0
time: 0.091; rss: 70MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 70MB	recursion limit
time: 0.000; rss: 70MB	crate injection
time: 0.000; rss: 70MB	plugin loading
time: 0.000; rss: 70MB	plugin registration
time: 0.236; rss: 146MB	expansion
time: 0.000; rss: 146MB	maybe building test harness
time: 0.006; rss: 146MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 146MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 146MB	complete gated feature checking
time: 0.022; rss: 146MB	early lint checks
time: 0.007; rss: 146MB	AST validation
time: 0.075; rss: 161MB	name resolution
time: 0.044; rss: 184MB	lowering ast -> hir
time: 0.008; rss: 194MB	indexing hir
time: 0.006; rss: 194MB	attribute checking
time: 0.004; rss: 149MB	language item collection
time: 0.011; rss: 149MB	lifetime resolution
time: 0.000; rss: 149MB	looking for entry point
time: 0.000; rss: 149MB	looking for plugin registrar
time: 0.041; rss: 169MB	region resolution
time: 0.005; rss: 169MB	loop checking
time: 0.004; rss: 169MB	static item recursion checking
time: 0.328; rss: 169MB	compute_incremental_hashes_map
time: 0.000; rss: 169MB	load_dep_graph
time: 0.047; rss: 168MB	type collecting
time: 0.001; rss: 168MB	variance inference
time: 0.002; rss: 169MB	impl wf inference
time: 0.018; rss: 172MB	coherence checking
time: 0.086; rss: 176MB	wf checking
time: 0.176; rss: 181MB	item-types checking
time: 6.150; rss: 233MB	item-bodies checking
time: 0.000; rss: 233MB	drop-impl checking
time: 0.211; rss: 252MB	const checking
time: 0.047; rss: 252MB	privacy checking
time: 0.006; rss: 252MB	stability index
time: 0.017; rss: 252MB	intrinsic checking
time: 0.014; rss: 252MB	effect checking
time: 0.045; rss: 252MB	match checking
time: 0.048; rss: 254MB	liveness checking
time: 0.172; rss: 254MB	rvalue checking
time: 0.364; rss: 436MB	MIR dump
  time: 0.056; rss: 437MB	SimplifyCfg
  time: 0.073; rss: 437MB	QualifyAndPromoteConstants
  time: 0.102; rss: 437MB	TypeckMir
  time: 0.004; rss: 437MB	SimplifyBranches
  time: 0.030; rss: 437MB	SimplifyCfg
time: 0.265; rss: 437MB	MIR cleanup and validation
time: 0.537; rss: 437MB	borrow checking
time: 0.019; rss: 437MB	reachability checking
time: 0.038; rss: 437MB	death checking
time: 0.030; rss: 439MB	stability checking
time: 0.000; rss: 439MB	unused lib feature checking
time: 0.193; rss: 439MB	lint checking
time: 0.000; rss: 439MB	resolving dependency formats
  time: 0.003; rss: 439MB	NoLandingPads
  time: 0.026; rss: 439MB	SimplifyCfg
  time: 0.061; rss: 446MB	EraseRegions
  time: 0.011; rss: 446MB	AddCallGuards
  time: 0.269; rss: 464MB	ElaborateDrops
  time: 0.003; rss: 464MB	NoLandingPads
  time: 0.051; rss: 464MB	SimplifyCfg
  time: 0.028; rss: 464MB	InstCombine
  time: 0.012; rss: 464MB	Deaggregator
  time: 0.002; rss: 464MB	CopyPropagation
  time: 0.034; rss: 464MB	SimplifyLocals
  time: 0.009; rss: 464MB	AddCallGuards
  time: 0.002; rss: 464MB	PreTrans
time: 0.510; rss: 464MB	MIR optimisations
  time: 0.060; rss: 473MB	write metadata
  time: 0.373; rss: 488MB	translation item collection
  time: 0.060; rss: 493MB	codegen unit partitioning
  time: 0.041; rss: 741MB	internalize symbols
time: 4.377; rss: 741MB	translation
time: 0.000; rss: 741MB	assert dep graph
time: 0.000; rss: 741MB	serialize dep graph
  time: 0.529; rss: 430MB	llvm function passes [0]
  time: 0.279; rss: 437MB	llvm module passes [0]
  time: 10.383; rss: 427MB	codegen passes [0]
  time: 0.000; rss: 427MB	codegen passes [0]
time: 11.938; rss: 427MB	LLVM passes
time: 0.000; rss: 427MB	serialize work products
time: 0.342; rss: 115MB	linking
done
