commit 86e6e3235ee0df25ce41dcb48a08387125d31d35
Merge: 9d98390 e5e2cdb
Author: bors <bors@rust-lang.org>
Date:   Sun Feb 14 08:25:39 2016 +0000

    Auto merge of #31391 - frewsxcv:test, r=alexcrichton
    
    Part of #31185
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
    Updating registry `https://github.com/rust-lang/crates.io-index`
   Compiling rustc-serialize v0.3.18
   Compiling httparse v0.1.6
   Compiling libc v0.2.7
   Compiling lazy_static v0.1.15
   Compiling winapi v0.2.5
   Compiling pkg-config v0.3.6
   Compiling unicase v0.1.0
   Compiling matches v0.1.2
   Compiling libc v0.1.12
   Compiling typeable v0.1.2
   Compiling traitobject v0.0.1
   Compiling gcc v0.3.23
   Compiling bitflags v0.3.3
   Compiling winapi-build v0.1.1
   Compiling kernel32-sys v0.2.1
   Compiling log v0.3.5
   Compiling num_cpus v0.2.10
   Compiling time v0.1.34
   Compiling rand v0.3.14
   Compiling mime v0.0.11
   Compiling openssl-sys v0.6.7
   Compiling openssl v0.6.7
   Compiling uuid v0.1.18
   Compiling url v0.2.38
   Compiling cookie v0.1.21
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.030; rss: 44MB	parsing
Lines of code:             9154
Pre-expansion node count:  45594
time: 0.009; rss: 44MB	configuration 1
time: 0.000; rss: 44MB	recursion limit
time: 0.000; rss: 44MB	gated macro checking
time: 0.000; rss: 44MB	crate injection
time: 0.004; rss: 50MB	macro loading
time: 0.000; rss: 50MB	plugin loading
time: 0.000; rss: 50MB	plugin registration
time: 0.192; rss: 60MB	expansion
time: 0.005; rss: 60MB	complete gated feature checking 1
time: 0.035; rss: 60MB	configuration 2
time: 0.000; rss: 60MB	gated configuration checking
time: 0.013; rss: 60MB	maybe building test harness
time: 0.011; rss: 60MB	prelude injection
time: 0.001; rss: 60MB	checking that all macro invocations are gone
time: 0.000; rss: 60MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 60MB	complete gated feature checking 2
time: 0.001; rss: 60MB	const fn bodies and arguments
Post-expansion node count: 109258
time: 0.010; rss: 60MB	assigning node ids
time: 0.010; rss: 65MB	lowering ast -> hir
time: 0.004; rss: 67MB	indexing hir
time: 0.000; rss: 67MB	attribute checking
time: 0.007; rss: 67MB	early lint checks
time: 0.004; rss: 62MB	external crate/lib resolution
time: 0.001; rss: 62MB	language item collection
time: 0.025; rss: 81MB	resolution
time: 0.002; rss: 81MB	lifetime resolution
time: 0.000; rss: 81MB	looking for entry point
time: 0.000; rss: 81MB	looking for plugin registrar
time: 0.006; rss: 83MB	region resolution
time: 0.001; rss: 83MB	loop checking
time: 0.001; rss: 83MB	static item recursion checking
time: 0.013; rss: 88MB	type collecting
time: 0.000; rss: 88MB	variance inference
time: 0.040; rss: 106MB	coherence checking
time: 0.085; rss: 107MB	wf checking
time: 0.027; rss: 107MB	item-types checking
time: 0.536; rss: 127MB	item-bodies checking
time: 0.000; rss: 127MB	drop-impl checking
time: 0.040; rss: 129MB	const checking
time: 0.009; rss: 129MB	privacy checking
time: 0.001; rss: 129MB	stability index
time: 0.004; rss: 129MB	intrinsic checking
time: 0.002; rss: 129MB	effect checking
time: 0.013; rss: 129MB	match checking
time: 0.052; rss: 134MB	MIR dump
time: 0.000; rss: 134MB	MIR passes
time: 0.006; rss: 134MB	liveness checking
time: 0.071; rss: 134MB	borrow checking
time: 0.036; rss: 134MB	rvalue checking
time: 0.003; rss: 134MB	reachability checking
time: 0.006; rss: 134MB	death checking
time: 0.006; rss: 134MB	stability checking
time: 0.000; rss: 134MB	unused lib feature checking
time: 0.049; rss: 134MB	lint checking
time: 0.000; rss: 134MB	resolving dependency formats
time: 0.007; rss: 134MB	erasing regions from MIR
  time: 0.199; rss: 155MB	translation item collection
  time: 0.136; rss: 246MB	write metadata
time: 1.447; rss: 246MB	translation
  time: 0.096; rss: 157MB	llvm function passes [0]
  time: 0.047; rss: 159MB	llvm module passes [0]
  time: 1.714; rss: 206MB	codegen passes [0]
  time: 0.001; rss: 156MB	codegen passes [0]
time: 2.059; rss: 156MB	LLVM passes
time: 0.170; rss: 156MB	linking
done
