commit 6c9bb42ecc48ffb5a3c8b61e220b11adc3a46384
Merge: 7f2d2af a8535ce
Author: bors <bors@rust-lang.org>
Date:   Fri Dec 30 18:24:27 2016 +0000

    Auto merge of #38658 - alexcrichton:less-docs, r=nikomatsakis
    
    std: Don't build docs for misc facade crates
    
    Retain the same behavior as stable.
    
    Closes #38319
rustc 1.15.0-nightly (daf8c1dfc 2016-12-05)
-rwxr-xr-x 1 root root 9432 Dec  6 15:39 /usr/local/bin/rustc
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.096; rss: 86MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 89MB	recursion limit
time: 0.000; rss: 89MB	crate injection
time: 0.000; rss: 89MB	plugin loading
time: 0.000; rss: 89MB	plugin registration
time: 0.248; rss: 164MB	expansion
time: 0.000; rss: 164MB	maybe building test harness
time: 0.006; rss: 164MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 164MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 164MB	complete gated feature checking
time: 0.025; rss: 164MB	early lint checks
time: 0.007; rss: 164MB	AST validation
time: 0.077; rss: 179MB	name resolution
time: 0.059; rss: 212MB	lowering ast -> hir
time: 0.010; rss: 204MB	indexing hir
time: 0.006; rss: 204MB	attribute checking
time: 0.002; rss: 167MB	language item collection
time: 0.011; rss: 169MB	lifetime resolution
time: 0.000; rss: 169MB	looking for entry point
time: 0.000; rss: 169MB	looking for plugin registrar
time: 0.047; rss: 189MB	region resolution
time: 0.008; rss: 189MB	loop checking
time: 0.002; rss: 189MB	static item recursion checking
time: 0.390; rss: 191MB	compute_incremental_hashes_map
time: 0.000; rss: 191MB	load_dep_graph
time: 0.009; rss: 191MB	stability index
time: 0.021; rss: 195MB	stability checking
time: 0.056; rss: 203MB	type collecting
time: 0.004; rss: 203MB	variance inference
time: 0.007; rss: 206MB	impl wf inference
time: 0.026; rss: 211MB	coherence checking
time: 0.086; rss: 212MB	wf checking
time: 0.202; rss: 222MB	item-types checking
time: 3.663; rss: 279MB	item-bodies checking
time: 0.000; rss: 279MB	drop-impl checking
time: 0.220; rss: 290MB	const checking
time: 0.059; rss: 290MB	privacy checking
time: 0.019; rss: 297MB	intrinsic checking
time: 0.016; rss: 297MB	effect checking
time: 0.050; rss: 297MB	match checking
time: 0.049; rss: 304MB	liveness checking
time: 0.189; rss: 306MB	rvalue checking
time: 0.362; rss: 494MB	MIR dump
  time: 0.058; rss: 496MB	SimplifyCfg
  time: 0.077; rss: 496MB	QualifyAndPromoteConstants
  time: 0.111; rss: 496MB	TypeckMir
  time: 0.004; rss: 496MB	SimplifyBranches
  time: 0.031; rss: 496MB	SimplifyCfg
time: 0.282; rss: 496MB	MIR cleanup and validation
time: 0.547; rss: 513MB	borrow checking
time: 0.026; rss: 513MB	reachability checking
time: 0.049; rss: 513MB	death checking
time: 0.000; rss: 513MB	unused lib feature checking
time: 0.251; rss: 513MB	lint checking
time: 0.000; rss: 513MB	resolving dependency formats
  time: 0.004; rss: 513MB	NoLandingPads
  time: 0.027; rss: 513MB	SimplifyCfg
  time: 0.062; rss: 519MB	EraseRegions
  time: 0.011; rss: 519MB	AddCallGuards
  time: 0.285; rss: 542MB	ElaborateDrops
  time: 0.004; rss: 542MB	NoLandingPads
  time: 0.053; rss: 541MB	SimplifyCfg
  time: 0.030; rss: 540MB	InstCombine
  time: 0.014; rss: 540MB	Deaggregator
  time: 0.003; rss: 540MB	CopyPropagation
  time: 0.035; rss: 540MB	SimplifyLocals
  time: 0.010; rss: 540MB	AddCallGuards
  time: 0.003; rss: 540MB	PreTrans
time: 0.541; rss: 540MB	MIR optimisations
  time: 0.066; rss: 549MB	write metadata
  time: 0.397; rss: 560MB	translation item collection
  time: 0.074; rss: 565MB	codegen unit partitioning
  time: 0.049; rss: 1468MB	internalize symbols
time: 13.224; rss: 1468MB	translation
time: 0.000; rss: 1468MB	assert dep graph
time: 1.381; rss: 1496MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.001; rss: 1220MB	llvm function passes [1]
time: 0.000; rss: 1222MB	llvm module passes [1]
time: 0.001; rss: 1222MB	llvm function passes [0]
time: 0.000; rss: 1224MB	llvm module passes [0]
time: 0.004; rss: 1229MB	llvm function passes [5]
time: 0.008; rss: 1234MB	llvm function passes [2]
time: 0.000; rss: 1234MB	llvm module passes [2]
time: 0.009; rss: 1234MB	llvm function passes [4]
time: 0.000; rss: 1234MB	llvm module passes [4]
time: 0.008; rss: 1234MB	codegen passes [0]
time: 0.007; rss: 1237MB	codegen passes [2]
time: 0.013; rss: 1237MB	codegen passes [1]
time: 0.023; rss: 1240MB	llvm function passes [6]
time: 0.032; rss: 1240MB	llvm function passes [3]
time: 0.016; rss: 1240MB	llvm function passes [2]
time: 0.029; rss: 1240MB	llvm module passes [5]
time: 0.010; rss: 1240MB	llvm module passes [3]
time: 0.011; rss: 1242MB	llvm module passes [2]
time: 0.026; rss: 1244MB	llvm module passes [6]
time: 0.045; rss: 1246MB	llvm function passes [8]
time: 0.001; rss: 1246MB	llvm module passes [8]
time: 0.001; rss: 1261MB	llvm function passes [12]
time: 0.000; rss: 1261MB	llvm module passes [12]
time: 0.048; rss: 1261MB	llvm function passes [0]
time: 0.009; rss: 1271MB	llvm function passes [24]
time: 0.000; rss: 1271MB	llvm module passes [24]
time: 0.001; rss: 1271MB	codegen passes [24]
time: 0.000; rss: 1271MB	llvm function passes [24]
time: 0.000; rss: 1271MB	llvm module passes [24]
time: 0.001; rss: 1271MB	codegen passes [24]
time: 0.010; rss: 1286MB	codegen passes [12]
time: 0.022; rss: 1322MB	llvm module passes [0]
time: 0.019; rss: 1322MB	llvm function passes [11]
time: 0.000; rss: 1322MB	llvm module passes [11]
