commit 806a5535dac1afe79176ea7053661953c89eaa5e
Merge: 433d70c 42e593a
Author: bors <bors@rust-lang.org>
Date:   Wed Jun 1 00:28:44 2016 -0700

    Auto merge of #34004 - Manishearth:rollup, r=Manishearth
    
    Rollup of 11 pull requests
    
    - Successful merges: #33385, #33606, #33841, #33892, #33896, #33915, #33921, #33967, #33970, #33973, #33977
    - Failed merges:
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.036; rss: 57MB	parsing
Lines of code:             9154
Pre-expansion node count:  44646
time: 0.007; rss: 57MB	configuration 1
time: 0.000; rss: 57MB	recursion limit
time: 0.000; rss: 57MB	crate injection
time: 0.019; rss: 91MB	macro loading
time: 0.000; rss: 91MB	plugin loading
time: 0.000; rss: 91MB	plugin registration
time: 0.240; rss: 101MB	expansion
time: 0.000; rss: 101MB	gated configuration checking
time: 0.014; rss: 101MB	maybe building test harness
time: 0.011; rss: 101MB	prelude injection
time: 0.001; rss: 101MB	checking that all macro invocations are gone
time: 0.000; rss: 101MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 101MB	complete gated feature checking
Post-expansion node count: 101566
time: 0.010; rss: 101MB	assigning node ids
time: 0.003; rss: 101MB	collecting defs
time: 0.011; rss: 115MB	external crate/lib resolution
time: 0.007; rss: 115MB	early lint checks
time: 0.022; rss: 118MB	name resolution
time: 0.012; rss: 124MB	lowering ast -> hir
time: 0.001; rss: 126MB	indexing hir
time: 0.001; rss: 126MB	attribute checking
time: 0.001; rss: 118MB	language item collection
time: 0.002; rss: 118MB	lifetime resolution
time: 0.000; rss: 118MB	looking for entry point
time: 0.000; rss: 118MB	looking for plugin registrar
time: 0.006; rss: 122MB	region resolution
time: 0.001; rss: 122MB	loop checking
time: 0.001; rss: 122MB	static item recursion checking
time: 0.000; rss: 122MB	load_dep_graph
time: 0.044; rss: 124MB	type collecting
time: 0.000; rss: 124MB	variance inference
time: 0.046; rss: 131MB	coherence checking
time: 0.106; rss: 132MB	wf checking
time: 0.037; rss: 132MB	item-types checking
time: 0.553; rss: 141MB	item-bodies checking
time: 0.000; rss: 141MB	drop-impl checking
time: 0.045; rss: 141MB	const checking
time: 0.009; rss: 141MB	privacy checking
time: 0.001; rss: 141MB	stability index
time: 0.006; rss: 141MB	intrinsic checking
time: 0.002; rss: 141MB	effect checking
time: 0.015; rss: 141MB	match checking
time: 0.004; rss: 141MB	liveness checking
time: 0.033; rss: 143MB	rvalue checking
time: 0.070; rss: 154MB	MIR dump
time: 0.043; rss: 154MB	MIR passes
time: 0.075; rss: 154MB	borrow checking
time: 0.003; rss: 154MB	reachability checking
time: 0.006; rss: 154MB	death checking
time: 0.006; rss: 154MB	stability checking
time: 0.000; rss: 154MB	unused lib feature checking
time: 0.052; rss: 154MB	lint checking
time: 0.000; rss: 154MB	resolving dependency formats
time: 0.012; rss: 154MB	Prepare MIR codegen passes
  time: 0.133; rss: 160MB	write metadata
  time: 0.304; rss: 169MB	translation item collection
  time: 0.007; rss: 169MB	codegen unit partitioning
time: 1.817; rss: 287MB	translation
time: 0.001; rss: 287MB	assert dep graph
time: 0.000; rss: 287MB	serialize dep graph
  time: 0.095; rss: 180MB	llvm function passes [0]
  time: 0.048; rss: 181MB	llvm module passes [0]
  time: 1.631; rss: 183MB	codegen passes [0]
  time: 0.001; rss: 132MB	codegen passes [0]
time: 1.975; rss: 131MB	LLVM passes
time: 0.178; rss: 129MB	linking
done
