commit 0352866da7098bdcc868fbc37246b48778ecf74a
Merge: 55cabda 46de0fa
Author: bors <bors@rust-lang.org>
Date:   Fri May 20 08:44:01 2016 -0700

    Auto merge of #33378 - oli-obk:fix/registry_args, r=Manishearth
    
    fix Registry::args for plugins loaded with --extra-plugins
    
    r? @Manishearth
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.155; rss: 68MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.012; rss: 68MB	configuration 1
time: 0.000; rss: 68MB	recursion limit
time: 0.000; rss: 68MB	crate injection
time: 0.020; rss: 101MB	macro loading
time: 0.000; rss: 101MB	plugin loading
time: 0.000; rss: 101MB	plugin registration
time: 0.042; rss: 108MB	expansion
time: 0.011; rss: 108MB	configuration 2
time: 0.000; rss: 108MB	gated configuration checking
time: 0.006; rss: 108MB	maybe building test harness
time: 0.005; rss: 108MB	prelude injection
time: 0.001; rss: 108MB	checking that all macro invocations are gone
time: 0.000; rss: 108MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 108MB	complete gated feature checking
Post-expansion node count: 65565
time: 0.007; rss: 108MB	assigning node ids
time: 0.001; rss: 108MB	collecting defs
time: 0.004; rss: 109MB	external crate/lib resolution
time: 0.008; rss: 109MB	early lint checks
time: 0.002; rss: 109MB	name resolution
time: 0.009; rss: 123MB	lowering ast -> hir
time: 0.002; rss: 123MB	indexing hir
time: 0.001; rss: 123MB	attribute checking
time: 0.001; rss: 110MB	language item collection
time: 0.001; rss: 110MB	lifetime resolution
time: 0.000; rss: 110MB	looking for entry point
time: 0.000; rss: 110MB	looking for plugin registrar
time: 0.007; rss: 117MB	region resolution
time: 0.001; rss: 117MB	loop checking
time: 0.001; rss: 117MB	static item recursion checking
time: 0.000; rss: 117MB	load_dep_graph
time: 0.000; rss: 117MB	type collecting
time: 0.000; rss: 117MB	variance inference
time: 0.005; rss: 119MB	coherence checking
time: 0.001; rss: 119MB	wf checking
time: 0.852; rss: 137MB	item-types checking
time: 0.000; rss: 137MB	item-bodies checking
time: 0.000; rss: 137MB	drop-impl checking
time: 0.020; rss: 134MB	const checking
time: 0.002; rss: 134MB	privacy checking
time: 0.000; rss: 134MB	stability index
time: 0.000; rss: 134MB	intrinsic checking
time: 0.000; rss: 134MB	effect checking
time: 0.000; rss: 134MB	match checking
time: 0.001; rss: 134MB	liveness checking
time: 0.000; rss: 134MB	rvalue checking
time: 0.057; rss: 148MB	MIR dump
time: 0.002; rss: 148MB	MIR passes
time: 0.001; rss: 148MB	borrow checking
time: 0.000; rss: 148MB	reachability checking
time: 0.001; rss: 148MB	death checking
time: 0.001; rss: 148MB	stability checking
time: 0.000; rss: 148MB	unused lib feature checking
time: 0.029; rss: 148MB	lint checking
time: 0.001; rss: 148MB	resolving dependency formats
time: 0.001; rss: 148MB	Prepare MIR codegen passes
  time: 0.001; rss: 149MB	translation item collection
  time: 0.000; rss: 149MB	codegen unit partitioning
  time: 0.000; rss: 165MB	write metadata
time: 0.092; rss: 149MB	translation
time: 0.000; rss: 149MB	assert dep graph
time: 0.000; rss: 149MB	serialize dep graph
  time: 0.004; rss: 107MB	llvm function passes [0]
  time: 0.000; rss: 107MB	llvm module passes [0]
  time: 0.161; rss: 108MB	codegen passes [0]
  time: 0.000; rss: 98MB	codegen passes [0]
time: 0.176; rss: 98MB	LLVM passes
  time: 0.186; rss: 98MB	running linker
time: 0.187; rss: 98MB	linking
done
