commit 01e5c48656ac41e5a83d63d9dac7473fdd63d4e0
Merge: 672a3d9 5294f20
Author: bors <bors@rust-lang.org>
Date:   Fri Dec 11 06:29:06 2015 +0000

    Auto merge of #30248 - petevine:master, r=brson
    
    Running `/usr/bin/time -v make` to build rust (using local llvm) shows the maximum memory usage at 715 megabytes on 32-bit x86 (on arm linux it's even less @ 580M).
    
    Reworded according to @brson's [input](https://github.com/rust-lang/rust/pull/30196#issuecomment-162088921).
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.030; rss: 43MB	parsing
time: 0.010; rss: 43MB	configuration 1
time: 0.000; rss: 43MB	recursion limit
time: 0.000; rss: 43MB	gated macro checking
time: 0.000; rss: 43MB	crate injection
time: 0.004; rss: 48MB	macro loading
time: 0.000; rss: 48MB	plugin loading
time: 0.000; rss: 48MB	plugin registration
time: 0.196; rss: 58MB	expansion
time: 0.006; rss: 58MB	complete gated feature checking 1
time: 0.037; rss: 58MB	configuration 2
time: 0.000; rss: 58MB	gated configuration checking
time: 0.014; rss: 58MB	maybe building test harness
time: 0.011; rss: 58MB	prelude injection
time: 0.001; rss: 58MB	checking that all macro invocations are gone
time: 0.000; rss: 58MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 58MB	complete gated feature checking 2
time: 0.011; rss: 58MB	assigning node ids
time: 0.013; rss: 63MB	lowering ast -> hir
time: 0.005; rss: 65MB	indexing hir
time: 0.000; rss: 65MB	attribute checking
time: 0.006; rss: 65MB	early lint checks
time: 0.003; rss: 66MB	external crate/lib resolution
time: 0.001; rss: 66MB	language item collection
time: 0.029; rss: 93MB	resolution
time: 0.002; rss: 93MB	lifetime resolution
time: 0.000; rss: 93MB	looking for entry point
time: 0.000; rss: 93MB	looking for plugin registrar
time: 0.006; rss: 93MB	region resolution
time: 0.001; rss: 93MB	loop checking
time: 0.001; rss: 93MB	static item recursion checking
time: 0.014; rss: 98MB	type collecting
time: 0.000; rss: 98MB	variance inference
time: 0.040; rss: 119MB	coherence checking
time: 0.029; rss: 119MB	wf checking (old)
time: 0.027; rss: 119MB	item-types checking
time: 0.554; rss: 142MB	item-bodies checking
time: 0.000; rss: 142MB	drop-impl checking
time: 0.093; rss: 142MB	wf checking (new)
time: 0.044; rss: 142MB	const checking
time: 0.009; rss: 142MB	privacy checking
time: 0.001; rss: 142MB	stability index
time: 0.004; rss: 142MB	intrinsic checking
time: 0.002; rss: 142MB	effect checking
time: 0.013; rss: 142MB	match checking
time: 0.051; rss: 148MB	MIR dump
time: 0.006; rss: 148MB	liveness checking
time: 0.070; rss: 148MB	borrow checking
time: 0.036; rss: 150MB	rvalue checking
time: 0.004; rss: 150MB	reachability checking
time: 0.006; rss: 150MB	death checking
time: 0.006; rss: 150MB	stability checking
time: 0.000; rss: 150MB	unused lib feature checking
time: 0.046; rss: 150MB	lint checking
time: 0.000; rss: 150MB	resolving dependency formats
time: 0.008; rss: 152MB	erasing regions from MIR
time: 1.484; rss: 293MB	translation
  time: 0.101; rss: 187MB	llvm function passes [0]
  time: 0.053; rss: 187MB	llvm module passes [0]
  time: 1.696; rss: 231MB	codegen passes [0]
  time: 0.001; rss: 191MB	codegen passes [0]
time: 2.080; rss: 191MB	LLVM passes
time: 0.176; rss: 192MB	linking
done
