commit ab38d52df75f4fefbecb1156ff96d7c0728cced8
Merge: df9fa1a 8457ab6
Author: bors <bors@rust-lang.org>
Date:   Sat Oct 1 10:17:20 2016 -0700

    Auto merge of #36885 - Manishearth:rollup, r=Manishearth
    
    Rollup of 6 pull requests
    
    - Successful merges: #36865, #36872, #36873, #36877, #36880, #36882
    - Failed merges:
rustc: ./html5ever-2016-08-25
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling html5ever v0.5.4 (file:///root/benchmarks/html5ever-2016-08-25)
time: 0.028; rss: 51MB	parsing
Lines of code:             8210
Pre-expansion node count:  52238
time: 0.000; rss: 51MB	recursion limit
time: 0.000; rss: 51MB	crate injection
time: 0.000; rss: 51MB	plugin loading
time: 0.000; rss: 51MB	plugin registration
time: 1.290; rss: 104MB	expansion
time: 0.000; rss: 104MB	maybe building test harness
time: 0.002; rss: 104MB	maybe creating a macro crate
Post-expansion node count: 163524
time: 0.000; rss: 104MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 104MB	complete gated feature checking
time: 0.009; rss: 104MB	early lint checks
time: 0.002; rss: 104MB	AST validation
time: 0.018; rss: 107MB	name resolution
time: 0.016; rss: 122MB	lowering ast -> hir
time: 0.003; rss: 126MB	indexing hir
time: 0.002; rss: 126MB	attribute checking
time: 0.002; rss: 104MB	language item collection
time: 0.003; rss: 104MB	lifetime resolution
time: 0.000; rss: 104MB	looking for entry point
time: 0.000; rss: 104MB	looking for plugin registrar
time: 0.016; rss: 110MB	region resolution
time: 0.002; rss: 110MB	loop checking
time: 0.002; rss: 110MB	static item recursion checking
time: 0.024; rss: 111MB	compute_incremental_hashes_map
time: 0.000; rss: 111MB	load_dep_graph
time: 0.014; rss: 111MB	type collecting
time: 0.000; rss: 111MB	variance inference
time: 0.025; rss: 114MB	coherence checking
time: 0.024; rss: 115MB	wf checking
time: 0.353; rss: 122MB	item-types checking
time: 0.504; rss: 137MB	item-bodies checking
time: 0.000; rss: 137MB	drop-impl checking
time: 0.072; rss: 140MB	const checking
time: 0.009; rss: 140MB	privacy checking
time: 0.002; rss: 140MB	stability index
time: 0.003; rss: 140MB	intrinsic checking
time: 0.003; rss: 140MB	effect checking
time: 0.024; rss: 140MB	match checking
time: 0.013; rss: 134MB	liveness checking
time: 0.029; rss: 134MB	rvalue checking
time: 0.116; rss: 184MB	MIR dump
  time: 0.009; rss: 182MB	SimplifyCfg
  time: 0.016; rss: 182MB	QualifyAndPromoteConstants
  time: 0.024; rss: 182MB	TypeckMir
  time: 0.000; rss: 182MB	SimplifyBranches
  time: 0.005; rss: 182MB	SimplifyCfg
time: 0.054; rss: 182MB	MIR passes
time: 0.094; rss: 184MB	borrow checking
time: 0.003; rss: 184MB	reachability checking
time: 0.007; rss: 184MB	death checking
time: 0.009; rss: 184MB	stability checking
time: 0.000; rss: 184MB	unused lib feature checking
time: 0.066; rss: 184MB	lint checking
time: 0.000; rss: 184MB	resolving dependency formats
  time: 0.000; rss: 184MB	NoLandingPads
  time: 0.004; rss: 184MB	SimplifyCfg
  time: 0.010; rss: 184MB	EraseRegions
  time: 0.001; rss: 184MB	AddCallGuards
  time: 0.076; rss: 189MB	ElaborateDrops
  time: 0.000; rss: 189MB	NoLandingPads
  time: 0.006; rss: 186MB	SimplifyCfg
  time: 0.007; rss: 186MB	InstCombine
  time: 0.001; rss: 186MB	Deaggregator
  time: 0.000; rss: 186MB	CopyPropagation
  time: 0.001; rss: 186MB	AddCallGuards
  time: 0.000; rss: 186MB	PreTrans
time: 0.108; rss: 186MB	Prepare MIR codegen passes
  time: 0.052; rss: 186MB	write metadata
  time: 0.052; rss: 188MB	translation item collection
  time: 0.006; rss: 188MB	codegen unit partitioning
  time: 0.006; rss: 202MB	internalize symbols
time: 0.370; rss: 172MB	translation
time: 0.000; rss: 172MB	assert dep graph
time: 0.000; rss: 172MB	serialize dep graph
  time: 0.020; rss: 102MB	llvm function passes [0]
  time: 0.012; rss: 104MB	llvm module passes [0]
  time: 0.473; rss: 109MB	codegen passes [0]
  time: 0.001; rss: 109MB	codegen passes [0]
time: 0.544; rss: 109MB	LLVM passes
time: 0.000; rss: 109MB	serialize work products
time: 0.058; rss: 91MB	linking
done
