commit 9a681247379190896b9f56a3fb11c94ee4b83dce
Merge: 35784cb 0e55c04
Author: bors <bors@rust-lang.org>
Date:   Sat Jun 18 17:07:15 2016 -0700

    Auto merge of #34350 - Stebalien:test-30276, r=eddyb
    
    Add test case for #30276
    
    Make sure that treating a DST tuple constructor as a function doesn't ICE.
    
    Closes #30276
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.024; rss: 50MB	parsing
Lines of code:             6441
Pre-expansion node count:  30015
time: 0.003; rss: 50MB	configuration
time: 0.000; rss: 54MB	recursion limit
time: 0.000; rss: 54MB	crate injection
time: 0.000; rss: 54MB	plugin loading
time: 0.000; rss: 54MB	plugin registration
time: 0.073; rss: 90MB	expansion
time: 0.000; rss: 90MB	maybe building test harness
time: 0.000; rss: 90MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 90MB	complete gated feature checking
Post-expansion node count: 40313
time: 0.003; rss: 90MB	assigning node ids
time: 0.001; rss: 90MB	collecting defs
time: 0.001; rss: 90MB	external crate/lib resolution
time: 0.002; rss: 90MB	early lint checks
time: 0.000; rss: 90MB	AST validation
time: 0.008; rss: 95MB	name resolution
time: 0.004; rss: 95MB	lowering ast -> hir
time: 0.000; rss: 95MB	indexing hir
time: 0.000; rss: 95MB	attribute checking
time: 0.000; rss: 93MB	language item collection
time: 0.001; rss: 93MB	lifetime resolution
time: 0.000; rss: 93MB	looking for entry point
time: 0.000; rss: 93MB	looking for plugin registrar
time: 0.002; rss: 96MB	region resolution
time: 0.000; rss: 96MB	loop checking
time: 0.000; rss: 96MB	static item recursion checking
time: 0.000; rss: 96MB	load_dep_graph
time: 0.012; rss: 99MB	type collecting
time: 0.000; rss: 99MB	variance inference
time: 0.021; rss: 103MB	coherence checking
time: 0.023; rss: 103MB	wf checking
time: 0.015; rss: 103MB	item-types checking
time: 0.216; rss: 112MB	item-bodies checking
time: 0.000; rss: 112MB	drop-impl checking
time: 0.013; rss: 112MB	const checking
time: 0.002; rss: 112MB	privacy checking
time: 0.000; rss: 112MB	stability index
time: 0.002; rss: 112MB	intrinsic checking
time: 0.000; rss: 112MB	effect checking
time: 0.008; rss: 112MB	match checking
time: 0.001; rss: 112MB	liveness checking
time: 0.008; rss: 112MB	rvalue checking
time: 0.023; rss: 118MB	MIR dump
time: 0.015; rss: 118MB	MIR passes
time: 0.025; rss: 118MB	borrow checking
time: 0.000; rss: 118MB	reachability checking
time: 0.002; rss: 118MB	death checking
time: 0.002; rss: 118MB	stability checking
time: 0.000; rss: 118MB	unused lib feature checking
time: 0.023; rss: 118MB	lint checking
time: 0.000; rss: 118MB	resolving dependency formats
time: 0.026; rss: 119MB	Prepare MIR codegen passes
  time: 0.056; rss: 121MB	write metadata
  time: 0.027; rss: 123MB	translation item collection
  time: 0.001; rss: 125MB	codegen unit partitioning
time: 0.361; rss: 150MB	translation
time: 0.000; rss: 150MB	assert dep graph
time: 0.000; rss: 150MB	serialize dep graph
  time: 0.027; rss: 117MB	llvm function passes [0]
  time: 0.050; rss: 121MB	llvm module passes [0]
  time: 0.591; rss: 126MB	codegen passes [0]
  time: 0.001; rss: 111MB	codegen passes [0]
time: 0.731; rss: 110MB	LLVM passes
time: 0.053; rss: 109MB	linking
done
