commit a173778d1dab4960e46f3368390abf8a8fe25524
Merge: 17d873c 4f15e11
Author: bors <bors@rust-lang.org>
Date:   Thu Dec 22 22:28:41 2016 +0000

    Auto merge of #38330 - ollie27:rustdoc_short_summaries, r=steveklabnik
    
    rustdoc: Fix short summaries in search results
    
    They should be run through a Markdown renderer in rustdoc to remove
    links.
    
    This also fixes the mouse over text for the Crates list on the sidebar.
    
    [before](https://doc.rust-lang.org/nightly/std/index.html?search=ord) [after](https://ollie27.github.io/rust_doc_test/std/index.html?search=ord)
rustc: ./syntex-0.42.2
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.242; rss: 152MB	expansion
time: 0.000; rss: 152MB	maybe building test harness
time: 0.006; rss: 152MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 152MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 152MB	complete gated feature checking
time: 0.023; rss: 152MB	early lint checks
time: 0.007; rss: 152MB	AST validation
time: 0.076; rss: 166MB	name resolution
time: 0.059; rss: 200MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.046; rss: 177MB	region resolution
time: 0.008; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 182MB	stability checking
time: 0.056; rss: 189MB	type collecting
time: 0.004; rss: 189MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.090; rss: 199MB	wf checking
time: 0.200; rss: 207MB	item-types checking
time: 3.615; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.225; rss: 276MB	const checking
time: 0.069; rss: 277MB	privacy checking
time: 0.022; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.052; rss: 283MB	match checking
time: 0.051; rss: 291MB	liveness checking
time: 0.180; rss: 293MB	rvalue checking
time: 0.382; rss: 482MB	MIR dump
  time: 0.061; rss: 483MB	SimplifyCfg
  time: 0.083; rss: 483MB	QualifyAndPromoteConstants
  time: 0.132; rss: 500MB	TypeckMir
  time: 0.005; rss: 500MB	SimplifyBranches
  time: 0.034; rss: 500MB	SimplifyCfg
time: 0.315; rss: 500MB	MIR cleanup and validation
time: 0.478; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.039; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.180; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.028; rss: 500MB	SimplifyCfg
  time: 0.065; rss: 509MB	EraseRegions
  time: 0.012; rss: 509MB	AddCallGuards
  time: 0.279; rss: 529MB	ElaborateDrops
  time: 0.004; rss: 529MB	NoLandingPads
  time: 0.054; rss: 529MB	SimplifyCfg
  time: 0.029; rss: 529MB	InstCombine
  time: 0.013; rss: 529MB	Deaggregator
  time: 0.003; rss: 529MB	CopyPropagation
  time: 0.036; rss: 529MB	SimplifyLocals
  time: 0.010; rss: 529MB	AddCallGuards
  time: 0.003; rss: 529MB	PreTrans
time: 0.539; rss: 529MB	MIR optimisations
  time: 0.067; rss: 537MB	write metadata
  time: 0.400; rss: 550MB	translation item collection
  time: 0.072; rss: 554MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.744; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.432; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1193MB	llvm function passes [2]
time: 0.000; rss: 1193MB	llvm module passes [2]
time: 0.001; rss: 1204MB	llvm function passes [0]
time: 0.000; rss: 1204MB	llvm module passes [0]
time: 0.001; rss: 1206MB	llvm function passes [3]
time: 0.000; rss: 1206MB	llvm module passes [3]
time: 0.002; rss: 1208MB	llvm function passes [4]
time: 0.000; rss: 1208MB	llvm module passes [4]
time: 0.002; rss: 1208MB	codegen passes [2]
time: 0.004; rss: 1208MB	llvm function passes [6]
time: 0.001; rss: 1208MB	llvm module passes [6]
time: 0.005; rss: 1208MB	codegen passes [0]
time: 0.001; rss: 1210MB	llvm function passes [0]
time: 0.001; rss: 1217MB	llvm module passes [0]
time: 0.010; rss: 1223MB	codegen passes [3]
time: 0.018; rss: 1223MB	llvm function passes [1]
time: 0.000; rss: 1231MB	llvm function passes [32]
time: 0.000; rss: 1231MB	llvm module passes [32]
time: 0.022; rss: 1231MB	llvm function passes [5]
time: 0.008; rss: 1231MB	llvm module passes [1]
time: 0.016; rss: 1231MB	llvm function passes [37]
time: 0.005; rss: 1231MB	llvm module passes [37]
time: 0.032; rss: 1231MB	llvm function passes [39]
time: 0.029; rss: 1231MB	llvm function passes [3]
time: 0.026; rss: 1231MB	codegen passes [32]
time: 0.045; rss: 1231MB	llvm function passes [35]
time: 0.014; rss: 1231MB	llvm module passes [39]
time: 0.012; rss: 1231MB	llvm module passes [3]
time: 0.045; rss: 1240MB	llvm module passes [5]
time: 0.073; rss: 1251MB	codegen passes [0]
time: 0.000; rss: 1251MB	llvm function passes [0]
time: 0.000; rss: 1251MB	llvm module passes [0]
time: 0.032; rss: 1251MB	llvm module passes [35]
