commit 267cde2598db3b858730cc1f700f740964343828
Merge: 34fd686 be7b576
Author: bors <bors@rust-lang.org>
Date:   Wed May 25 16:53:05 2016 -0700

    Auto merge of #33732 - nikomatsakis:incr-comp-empty-cgu, r=mw
    
    always make at least one codegen-unit
    
    this allows us to remove the dummy `foo` fn
    
    r? @michaelwoerister
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.154; rss: 67MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.012; rss: 67MB	configuration 1
time: 0.000; rss: 67MB	recursion limit
time: 0.000; rss: 67MB	crate injection
time: 0.020; rss: 101MB	macro loading
time: 0.000; rss: 101MB	plugin loading
time: 0.000; rss: 101MB	plugin registration
time: 0.045; rss: 108MB	expansion
time: 0.011; rss: 108MB	configuration 2
time: 0.000; rss: 108MB	gated configuration checking
time: 0.006; rss: 108MB	maybe building test harness
time: 0.006; rss: 108MB	prelude injection
time: 0.001; rss: 108MB	checking that all macro invocations are gone
time: 0.000; rss: 108MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 108MB	complete gated feature checking
Post-expansion node count: 65565
time: 0.008; rss: 108MB	assigning node ids
time: 0.001; rss: 108MB	collecting defs
time: 0.004; rss: 108MB	external crate/lib resolution
time: 0.008; rss: 108MB	early lint checks
time: 0.002; rss: 108MB	name resolution
time: 0.010; rss: 122MB	lowering ast -> hir
time: 0.002; rss: 122MB	indexing hir
time: 0.001; rss: 122MB	attribute checking
time: 0.001; rss: 109MB	language item collection
time: 0.001; rss: 109MB	lifetime resolution
time: 0.000; rss: 109MB	looking for entry point
time: 0.000; rss: 109MB	looking for plugin registrar
time: 0.009; rss: 115MB	region resolution
time: 0.001; rss: 115MB	loop checking
time: 0.002; rss: 115MB	static item recursion checking
time: 0.000; rss: 115MB	load_dep_graph
time: 0.000; rss: 116MB	type collecting
time: 0.000; rss: 116MB	variance inference
time: 0.005; rss: 117MB	coherence checking
time: 0.001; rss: 117MB	wf checking
time: 0.835; rss: 137MB	item-types checking
time: 0.000; rss: 137MB	item-bodies checking
time: 0.000; rss: 137MB	drop-impl checking
time: 0.023; rss: 140MB	const checking
time: 0.002; rss: 140MB	privacy checking
time: 0.001; rss: 140MB	stability index
time: 0.001; rss: 140MB	intrinsic checking
time: 0.000; rss: 140MB	effect checking
time: 0.000; rss: 140MB	match checking
time: 0.001; rss: 140MB	liveness checking
time: 0.000; rss: 140MB	rvalue checking
time: 0.055; rss: 149MB	MIR dump
time: 0.002; rss: 149MB	MIR passes
time: 0.001; rss: 149MB	borrow checking
time: 0.000; rss: 149MB	reachability checking
time: 0.001; rss: 149MB	death checking
time: 0.001; rss: 149MB	stability checking
time: 0.000; rss: 149MB	unused lib feature checking
time: 0.030; rss: 149MB	lint checking
time: 0.001; rss: 149MB	resolving dependency formats
time: 0.001; rss: 149MB	Prepare MIR codegen passes
  time: 0.000; rss: 150MB	write metadata
  time: 0.001; rss: 150MB	translation item collection
  time: 0.000; rss: 150MB	codegen unit partitioning
time: 0.090; rss: 150MB	translation
time: 0.000; rss: 150MB	assert dep graph
time: 0.000; rss: 150MB	serialize dep graph
  time: 0.004; rss: 107MB	llvm function passes [0]
  time: 0.000; rss: 107MB	llvm module passes [0]
  time: 0.167; rss: 107MB	codegen passes [0]
  time: 0.000; rss: 97MB	codegen passes [0]
time: 0.182; rss: 97MB	LLVM passes
  time: 0.188; rss: 97MB	running linker
time: 0.190; rss: 97MB	linking
done
