commit bd938166d6dabc689777555d5046dce893555eb7
Merge: 90318b8 4d7b930
Author: bors <bors@rust-lang.org>
Date:   Mon Apr 25 10:43:36 2016 -0700

    Auto merge of #33115 - mbrubeck:vfp3-d16, r=nrc
    
    Enable vfp3-d16 for ARMv7 Android target
    
    Android's [armeabi-v7a ABI][1] guarantees at least VFPv3-d16 hardware FPU support, so Rust should include this in the default features for the `arm-linux-androideabi` target.
    
    [1]: https://developer.android.com/ndk/guides/abis.html
rustc: ./inflate-0.1.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling inflate v0.1.0 (file:///root/benchmarks/inflate-0.1.0)
time: 0.008; rss: 43MB	parsing
Lines of code:             956
Pre-expansion node count:  4761
time: 0.001; rss: 43MB	configuration 1
time: 0.000; rss: 43MB	recursion limit
time: 0.000; rss: 43MB	gated macro checking
time: 0.000; rss: 43MB	crate injection
time: 0.003; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.093; rss: 54MB	expansion
time: 0.001; rss: 54MB	complete gated feature checking 1
time: 0.009; rss: 54MB	configuration 2
time: 0.000; rss: 54MB	gated configuration checking
time: 0.004; rss: 54MB	maybe building test harness
time: 0.004; rss: 54MB	prelude injection
time: 0.000; rss: 54MB	checking that all macro invocations are gone
time: 0.000; rss: 54MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 54MB	complete gated feature checking 2
time: 0.000; rss: 55MB	const fn bodies and arguments
Post-expansion node count: 54798
time: 0.004; rss: 55MB	assigning node ids
time: 0.004; rss: 56MB	collecting defs
time: 0.001; rss: 56MB	external crate/lib resolution
time: 0.014; rss: 60MB	lowering ast -> hir
time: 0.001; rss: 61MB	indexing hir
time: 0.000; rss: 61MB	attribute checking
time: 0.004; rss: 61MB	early lint checks
time: 0.001; rss: 57MB	language item collection
time: 0.013; rss: 67MB	name resolution
time: 0.001; rss: 67MB	lifetime resolution
time: 0.000; rss: 67MB	looking for entry point
time: 0.000; rss: 67MB	looking for plugin registrar
time: 0.004; rss: 68MB	region resolution
time: 0.000; rss: 68MB	loop checking
time: 0.000; rss: 68MB	static item recursion checking
time: 0.000; rss: 68MB	load_dep_graph
time: 0.001; rss: 69MB	type collecting
time: 0.000; rss: 69MB	variance inference
time: 0.010; rss: 84MB	coherence checking
time: 0.002; rss: 84MB	wf checking
time: 0.002; rss: 84MB	item-types checking
time: 2.853; rss: 104MB	item-bodies checking
time: 0.000; rss: 104MB	drop-impl checking
time: 0.014; rss: 105MB	const checking
time: 0.002; rss: 105MB	privacy checking
time: 0.000; rss: 105MB	stability index
time: 0.000; rss: 105MB	intrinsic checking
time: 0.001; rss: 105MB	effect checking
time: 0.004; rss: 105MB	match checking
time: 0.297; rss: 105MB	liveness checking
time: 0.009; rss: 105MB	rvalue checking
time: 0.035; rss: 118MB	MIR dump
time: 0.013; rss: 115MB	MIR passes
time: 0.210; rss: 118MB	borrow checking
time: 0.000; rss: 118MB	reachability checking
time: 0.003; rss: 118MB	death checking
time: 0.002; rss: 118MB	stability checking
time: 0.000; rss: 118MB	unused lib feature checking
time: 0.022; rss: 119MB	lint checking
time: 0.000; rss: 119MB	resolving dependency formats
time: 0.006; rss: 119MB	Prepare MIR codegen passes
  time: 0.011; rss: 124MB	translation item collection
  time: 0.000; rss: 124MB	codegen unit partitioning
  time: 0.003; rss: 141MB	write metadata
time: 0.369; rss: 133MB	translation
time: 0.000; rss: 133MB	assert dep graph
time: 0.000; rss: 133MB	serialize dep graph
  time: 0.026; rss: 99MB	llvm function passes [0]
  time: 0.004; rss: 99MB	llvm module passes [0]
  time: 0.498; rss: 105MB	codegen passes [0]
  time: 0.000; rss: 94MB	codegen passes [0]
time: 0.571; rss: 94MB	LLVM passes
time: 0.035; rss: 94MB	linking
done
