commit 57ef015132ec09345b88d2ec20a9d9809b5d3dfc
Merge: 1ccada6 eb67f49
Author: bors <bors@rust-lang.org>
Date:   Mon May 23 13:31:59 2016 -0700

    Auto merge of #33664 - huonw:abs_sub, r=alexcrichton
    
    Deprecate {f32,f64}::abs_sub.
    
    The abs_sub name is misleading: the function actually computes the
    positive difference (`fdim` in C), not the `(x - y).abs()` that *many* people expect
    from the name.
    
    This function can be replaced with just `(x - y).max(0.0)`, mirroring
    the `abs` version, but this behaves differently with NAN: `NAN.max(0.0)
    == 0.0`, while `NAN.positive_diff(0.0) == NAN`. People who absolutely
    need that behaviour can use the C function directly and/or talk to the libs
    team (we haven't encountered a concrete use-case for this functionality).
    
    Closes #30315.
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.151; rss: 68MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.012; rss: 68MB	configuration 1
time: 0.000; rss: 68MB	recursion limit
time: 0.000; rss: 68MB	crate injection
time: 0.020; rss: 102MB	macro loading
time: 0.000; rss: 102MB	plugin loading
time: 0.000; rss: 102MB	plugin registration
time: 0.042; rss: 109MB	expansion
time: 0.011; rss: 109MB	configuration 2
time: 0.000; rss: 109MB	gated configuration checking
time: 0.006; rss: 109MB	maybe building test harness
time: 0.005; rss: 109MB	prelude injection
time: 0.001; rss: 109MB	checking that all macro invocations are gone
time: 0.000; rss: 109MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 109MB	complete gated feature checking
Post-expansion node count: 65565
time: 0.007; rss: 109MB	assigning node ids
time: 0.001; rss: 109MB	collecting defs
time: 0.004; rss: 109MB	external crate/lib resolution
time: 0.008; rss: 109MB	early lint checks
time: 0.002; rss: 109MB	name resolution
time: 0.009; rss: 123MB	lowering ast -> hir
time: 0.002; rss: 123MB	indexing hir
time: 0.001; rss: 123MB	attribute checking
time: 0.001; rss: 110MB	language item collection
time: 0.001; rss: 110MB	lifetime resolution
time: 0.000; rss: 110MB	looking for entry point
time: 0.000; rss: 110MB	looking for plugin registrar
time: 0.007; rss: 116MB	region resolution
time: 0.001; rss: 116MB	loop checking
time: 0.001; rss: 116MB	static item recursion checking
time: 0.000; rss: 116MB	load_dep_graph
time: 0.000; rss: 117MB	type collecting
time: 0.000; rss: 117MB	variance inference
time: 0.005; rss: 118MB	coherence checking
time: 0.001; rss: 118MB	wf checking
time: 0.845; rss: 138MB	item-types checking
time: 0.000; rss: 138MB	item-bodies checking
time: 0.000; rss: 138MB	drop-impl checking
time: 0.020; rss: 141MB	const checking
time: 0.002; rss: 141MB	privacy checking
time: 0.001; rss: 141MB	stability index
time: 0.001; rss: 141MB	intrinsic checking
time: 0.001; rss: 141MB	effect checking
time: 0.001; rss: 141MB	match checking
time: 0.001; rss: 141MB	liveness checking
time: 0.001; rss: 141MB	rvalue checking
time: 0.057; rss: 150MB	MIR dump
time: 0.002; rss: 150MB	MIR passes
time: 0.001; rss: 150MB	borrow checking
time: 0.000; rss: 150MB	reachability checking
time: 0.001; rss: 150MB	death checking
time: 0.001; rss: 150MB	stability checking
time: 0.000; rss: 150MB	unused lib feature checking
time: 0.031; rss: 150MB	lint checking
time: 0.001; rss: 150MB	resolving dependency formats
time: 0.001; rss: 150MB	Prepare MIR codegen passes
  time: 0.001; rss: 151MB	translation item collection
  time: 0.000; rss: 151MB	codegen unit partitioning
  time: 0.000; rss: 165MB	write metadata
time: 0.090; rss: 151MB	translation
time: 0.000; rss: 151MB	assert dep graph
time: 0.000; rss: 151MB	serialize dep graph
  time: 0.004; rss: 106MB	llvm function passes [0]
  time: 0.000; rss: 106MB	llvm module passes [0]
  time: 0.164; rss: 107MB	codegen passes [0]
  time: 0.000; rss: 97MB	codegen passes [0]
time: 0.180; rss: 97MB	LLVM passes
  time: 0.184; rss: 97MB	running linker
time: 0.186; rss: 97MB	linking
done
