commit 57a0df6db50cc2c544690e07b6f7c4638c4de9c3
Merge: fa7a3c2 eb5c0a6
Author: bors <bors@rust-lang.org>
Date:   Sat Oct 31 10:58:41 2015 +0000

    Auto merge of #29489 - Ms2ger:fmt-ri, r=Manishearth
    
    CC @nrc
rustc: ./html5ever-2015-05-15
cargo rustc -- -Ztime-passes
   Compiling html5ever v0.0.0 (file:///root/benchmarks/html5ever-2015-05-15)
time: 0.018; rss: 39MB	parsing
time: 0.005; rss: 39MB	configuration 1
time: 0.000; rss: 39MB	recursion limit
time: 0.000; rss: 39MB	gated macro checking
time: 0.000; rss: 39MB	crate injection
time: 0.020; rss: 53MB	macro loading
time: 0.001; rss: 54MB	plugin loading
time: 0.000; rss: 54MB	plugin registration
time: 1.004; rss: 73MB	expansion
time: 0.004; rss: 73MB	complete gated feature checking 1
time: 0.026; rss: 73MB	configuration 2
time: 0.000; rss: 73MB	gated configuration checking
time: 0.013; rss: 73MB	maybe building test harness
time: 0.012; rss: 73MB	prelude injection
time: 0.002; rss: 73MB	checking that all macro invocations are gone
time: 0.000; rss: 73MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 73MB	complete gated feature checking 2
time: 0.013; rss: 73MB	assigning node ids
time: 0.017; rss: 86MB	lowering ast -> hir
time: 0.007; rss: 90MB	indexing hir
time: 0.000; rss: 90MB	attribute checking
time: 0.009; rss: 90MB	early lint checks
time: 0.003; rss: 90MB	external crate/lib resolution
time: 0.003; rss: 90MB	language item collection
time: 0.032; rss: 106MB	resolution
time: 0.002; rss: 106MB	lifetime resolution
time: 0.000; rss: 106MB	looking for entry point
time: 0.001; rss: 106MB	looking for plugin registrar
time: 0.015; rss: 112MB	region resolution
time: 0.002; rss: 112MB	loop checking
time: 0.002; rss: 112MB	static item recursion checking
time: 0.008; rss: 112MB	type collecting
time: 0.003; rss: 112MB	variance inference
time: 0.038; rss: 131MB	coherence checking
time: 0.007; rss: 131MB	wf checking (old)
time: 0.326; rss: 163MB	item-types checking
time: 0.586; rss: 173MB	item-bodies checking
time: 0.000; rss: 173MB	drop-impl checking
time: 0.028; rss: 173MB	wf checking (new)
time: 0.076; rss: 173MB	const checking
time: 0.013; rss: 173MB	privacy checking
time: 0.001; rss: 173MB	stability index
time: 0.004; rss: 173MB	intrinsic checking
time: 0.003; rss: 173MB	effect checking
time: 0.027; rss: 173MB	match checking
time: 0.094; rss: 193MB	MIR dump
time: 0.012; rss: 183MB	liveness checking
time: 0.100; rss: 182MB	borrow checking
time: 0.039; rss: 182MB	rvalue checking
time: 0.003; rss: 182MB	reachability checking
time: 0.010; rss: 182MB	death checking
time: 0.008; rss: 182MB	stability checking
time: 0.000; rss: 182MB	unused lib feature checking
time: 0.053; rss: 182MB	lint checking
time: 0.000; rss: 182MB	resolving dependency formats
time: 0.468; rss: 229MB	translation
  time: 0.018; rss: 119MB	llvm function passes [0]
  time: 0.006; rss: 120MB	llvm module passes [0]
  time: 0.333; rss: 156MB	codegen passes [0]
  time: 0.001; rss: 131MB	codegen passes [0]
time: 0.413; rss: 131MB	LLVM passes
time: 0.060; rss: 131MB	linking
done
