commit 467a7f049bac0386097c6cd2c80966c8d7453ce8
Merge: 00b4019 c12fc66
Author: bors <bors@rust-lang.org>
Date:   Fri Dec 23 18:43:12 2016 +0000

    Auto merge of #38533 - jseyfried:legacy_custom_derive_deprecation, r=nrc
    
    Allow legacy custom derive authors to disable warnings in downstream crates
    
    This PR allows legacy custom derive authors to use a pre-deprecated method `registry.register_custom_derive()` instead of `registry.register_syntax_extension()` to avoid downstream deprecation warnings.
    
    r? @nrc
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.241; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.058; rss: 200MB	lowering ast -> hir
time: 0.009; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.045; rss: 177MB	region resolution
time: 0.007; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.055; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.088; rss: 200MB	wf checking
time: 0.197; rss: 208MB	item-types checking
time: 3.602; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.217; rss: 277MB	const checking
time: 0.057; rss: 277MB	privacy checking
time: 0.020; rss: 284MB	intrinsic checking
time: 0.016; rss: 284MB	effect checking
time: 0.049; rss: 284MB	match checking
time: 0.049; rss: 290MB	liveness checking
time: 0.177; rss: 292MB	rvalue checking
time: 0.368; rss: 482MB	MIR dump
  time: 0.057; rss: 483MB	SimplifyCfg
  time: 0.075; rss: 483MB	QualifyAndPromoteConstants
  time: 0.122; rss: 500MB	TypeckMir
  time: 0.005; rss: 500MB	SimplifyBranches
  time: 0.033; rss: 500MB	SimplifyCfg
time: 0.291; rss: 500MB	MIR cleanup and validation
time: 0.476; rss: 500MB	borrow checking
time: 0.026; rss: 500MB	reachability checking
time: 0.044; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.182; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.029; rss: 500MB	SimplifyCfg
  time: 0.072; rss: 509MB	EraseRegions
  time: 0.012; rss: 509MB	AddCallGuards
  time: 0.278; rss: 531MB	ElaborateDrops
  time: 0.004; rss: 531MB	NoLandingPads
  time: 0.055; rss: 531MB	SimplifyCfg
  time: 0.032; rss: 531MB	InstCombine
  time: 0.013; rss: 531MB	Deaggregator
  time: 0.004; rss: 531MB	CopyPropagation
  time: 0.041; rss: 531MB	SimplifyLocals
  time: 0.011; rss: 531MB	AddCallGuards
  time: 0.003; rss: 531MB	PreTrans
time: 0.558; rss: 531MB	MIR optimisations
  time: 0.077; rss: 538MB	write metadata
  time: 0.408; rss: 551MB	translation item collection
  time: 0.073; rss: 556MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.864; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.456; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1198MB	llvm function passes [0]
time: 0.000; rss: 1200MB	llvm module passes [0]
time: 0.001; rss: 1202MB	llvm function passes [3]
time: 0.000; rss: 1204MB	llvm module passes [3]
time: 0.001; rss: 1210MB	llvm function passes [2]
time: 0.000; rss: 1212MB	llvm module passes [2]
time: 0.004; rss: 1212MB	llvm function passes [5]
time: 0.006; rss: 1219MB	llvm function passes [1]
time: 0.000; rss: 1219MB	llvm module passes [1]
time: 0.001; rss: 1219MB	llvm function passes [9]
time: 0.007; rss: 1221MB	llvm function passes [6]
time: 0.003; rss: 1221MB	llvm module passes [9]
time: 0.010; rss: 1223MB	llvm function passes [4]
time: 0.007; rss: 1223MB	llvm module passes [5]
time: 0.006; rss: 1227MB	llvm module passes [4]
time: 0.011; rss: 1227MB	llvm module passes [6]
time: 0.025; rss: 1227MB	codegen passes [0]
time: 0.020; rss: 1227MB	llvm function passes [10]
time: 0.009; rss: 1233MB	llvm module passes [10]
time: 0.047; rss: 1236MB	codegen passes [3]
time: 0.044; rss: 1236MB	llvm function passes [11]
time: 0.028; rss: 1236MB	llvm function passes [13]
time: 0.005; rss: 1236MB	llvm module passes [11]
time: 0.008; rss: 1236MB	llvm module passes [13]
time: 0.064; rss: 1240MB	llvm function passes [12]
time: 0.000; rss: 1245MB	llvm function passes [15]
time: 0.000; rss: 1245MB	llvm module passes [15]
time: 0.001; rss: 1245MB	codegen passes [15]
time: 0.040; rss: 1245MB	llvm function passes [3]
time: 0.003; rss: 1247MB	llvm function passes [15]
time: 0.001; rss: 1247MB	llvm module passes [15]
time: 0.092; rss: 1249MB	codegen passes [2]
time: 0.011; rss: 1249MB	llvm module passes [3]
time: 0.025; rss: 1262MB	llvm function passes [2]
