commit 5d3ec6b0a0f6f95412235dc5a6b5d416187a01f3
Merge: aa7a2e9 2b093b7
Author: bors <bors@rust-lang.org>
Date:   Wed Dec 14 06:26:21 2016 +0000

    Auto merge of #38332 - bluss:copy-prop-arguments, r=eddyb
    
    Allow copy-propagation of function arguments
    
    Allow propagating function argument locals in copy propagation.
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.248; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.007; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.013; rss: 151MB	complete gated feature checking
time: 0.025; rss: 151MB	early lint checks
time: 0.008; rss: 151MB	AST validation
time: 0.080; rss: 166MB	name resolution
time: 0.066; rss: 200MB	lowering ast -> hir
time: 0.011; rss: 192MB	indexing hir
time: 0.007; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.012; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.050; rss: 177MB	region resolution
time: 0.009; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.384; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 182MB	stability checking
time: 0.055; rss: 189MB	type collecting
time: 0.004; rss: 189MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.087; rss: 199MB	wf checking
time: 0.197; rss: 207MB	item-types checking
time: 3.573; rss: 267MB	item-bodies checking
time: 0.000; rss: 267MB	drop-impl checking
time: 0.215; rss: 276MB	const checking
time: 0.059; rss: 276MB	privacy checking
time: 0.020; rss: 283MB	intrinsic checking
time: 0.014; rss: 283MB	effect checking
time: 0.049; rss: 283MB	match checking
time: 0.046; rss: 290MB	liveness checking
time: 0.175; rss: 292MB	rvalue checking
time: 0.362; rss: 481MB	MIR dump
  time: 0.056; rss: 483MB	SimplifyCfg
  time: 0.075; rss: 483MB	QualifyAndPromoteConstants
  time: 0.119; rss: 500MB	TypeckMir
  time: 0.005; rss: 500MB	SimplifyBranches
  time: 0.033; rss: 500MB	SimplifyCfg
time: 0.288; rss: 500MB	MIR cleanup and validation
time: 0.480; rss: 500MB	borrow checking
time: 0.026; rss: 500MB	reachability checking
time: 0.044; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.186; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.272; rss: 529MB	ElaborateDrops
  time: 0.004; rss: 529MB	NoLandingPads
  time: 0.054; rss: 529MB	SimplifyCfg
  time: 0.029; rss: 529MB	InstCombine
  time: 0.013; rss: 529MB	Deaggregator
  time: 0.003; rss: 529MB	CopyPropagation
  time: 0.036; rss: 529MB	SimplifyLocals
  time: 0.010; rss: 529MB	AddCallGuards
  time: 0.003; rss: 529MB	PreTrans
time: 0.538; rss: 529MB	MIR optimisations
  time: 0.067; rss: 538MB	write metadata
  time: 0.423; rss: 551MB	translation item collection
  time: 0.105; rss: 555MB	codegen unit partitioning
  time: 0.049; rss: 1457MB	internalize symbols
time: 11.891; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.436; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1199MB	llvm function passes [0]
time: 0.000; rss: 1201MB	llvm module passes [0]
time: 0.001; rss: 1201MB	llvm function passes [2]
time: 0.000; rss: 1207MB	llvm module passes [2]
time: 0.001; rss: 1207MB	llvm function passes [1]
time: 0.000; rss: 1207MB	llvm module passes [1]
time: 0.002; rss: 1207MB	llvm function passes [3]
time: 0.000; rss: 1207MB	llvm module passes [3]
time: 0.004; rss: 1207MB	llvm function passes [6]
time: 0.002; rss: 1216MB	llvm module passes [6]
time: 0.006; rss: 1218MB	codegen passes [0]
time: 0.008; rss: 1218MB	llvm function passes [5]
time: 0.001; rss: 1220MB	llvm function passes [26]
time: 0.000; rss: 1220MB	llvm module passes [26]
time: 0.013; rss: 1220MB	llvm function passes [4]
time: 0.013; rss: 1220MB	codegen passes [2]
time: 0.006; rss: 1220MB	llvm module passes [5]
time: 0.008; rss: 1222MB	llvm module passes [4]
time: 0.026; rss: 1222MB	llvm function passes [0]
time: 0.034; rss: 1224MB	codegen passes [1]
time: 0.008; rss: 1224MB	llvm module passes [0]
time: 0.023; rss: 1235MB	llvm function passes [1]
time: 0.048; rss: 1235MB	codegen passes [26]
time: 0.000; rss: 1235MB	llvm function passes [26]
time: 0.000; rss: 1235MB	llvm module passes [26]
time: 0.057; rss: 1235MB	codegen passes [3]
time: 0.001; rss: 1235MB	codegen passes [26]
time: 0.037; rss: 1235MB	llvm function passes [17]
time: 0.007; rss: 1235MB	llvm module passes [17]
time: 0.011; rss: 1235MB	llvm module passes [1]
time: 0.066; rss: 1247MB	llvm function passes [19]
time: 0.015; rss: 1247MB	llvm function passes [3]
time: 0.001; rss: 1249MB	llvm module passes [3]
time: 0.000; rss: 1260MB	llvm function passes [14]
time: 0.002; rss: 1264MB	llvm module passes [14]
time: 0.004; rss: 1266MB	codegen passes [14]
time: 0.000; rss: 1266MB	llvm function passes [14]
