commit f99d4dfef2cf3cbbf5699e44fddf019695e1d00d
Merge: d250169 fd98a8d
Author: bors <bors@rust-lang.org>
Date:   Sat Dec 17 06:43:16 2016 +0000

    Auto merge of #38205 - jseyfried:fix_module_directory_regression, r=eddyb
    
    macros: fix the expected paths for a non-inline module matched by an `item` fragment
    
    Fixes #38190.
    r? @nrc
rustc: ./syntex-0.42.2
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.243; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.058; rss: 200MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.046; rss: 177MB	region resolution
time: 0.008; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.382; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.056; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.088; rss: 200MB	wf checking
time: 0.199; rss: 208MB	item-types checking
time: 3.615; rss: 265MB	item-bodies checking
time: 0.000; rss: 265MB	drop-impl checking
time: 0.220; rss: 276MB	const checking
time: 0.060; rss: 277MB	privacy checking
time: 0.022; rss: 283MB	intrinsic checking
time: 0.017; rss: 283MB	effect checking
time: 0.052; rss: 283MB	match checking
time: 0.050; rss: 290MB	liveness checking
time: 0.180; rss: 292MB	rvalue checking
time: 0.373; rss: 482MB	MIR dump
  time: 0.058; rss: 483MB	SimplifyCfg
  time: 0.076; rss: 483MB	QualifyAndPromoteConstants
  time: 0.125; rss: 500MB	TypeckMir
  time: 0.005; rss: 500MB	SimplifyBranches
  time: 0.034; rss: 500MB	SimplifyCfg
time: 0.297; rss: 500MB	MIR cleanup and validation
time: 0.472; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.039; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.179; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.028; rss: 500MB	SimplifyCfg
  time: 0.065; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.277; rss: 531MB	ElaborateDrops
  time: 0.004; rss: 531MB	NoLandingPads
  time: 0.054; rss: 531MB	SimplifyCfg
  time: 0.029; rss: 530MB	InstCombine
  time: 0.013; rss: 530MB	Deaggregator
  time: 0.004; rss: 530MB	CopyPropagation
  time: 0.036; rss: 530MB	SimplifyLocals
  time: 0.010; rss: 530MB	AddCallGuards
  time: 0.003; rss: 530MB	PreTrans
time: 0.537; rss: 530MB	MIR optimisations
  time: 0.068; rss: 538MB	write metadata
  time: 0.395; rss: 552MB	translation item collection
  time: 0.072; rss: 554MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.988; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.476; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1197MB	llvm function passes [1]
time: 0.000; rss: 1197MB	llvm module passes [1]
time: 0.001; rss: 1206MB	llvm function passes [3]
time: 0.001; rss: 1206MB	llvm function passes [0]
time: 0.000; rss: 1206MB	llvm module passes [0]
time: 0.000; rss: 1206MB	llvm module passes [3]
time: 0.002; rss: 1212MB	llvm function passes [2]
time: 0.000; rss: 1212MB	llvm module passes [2]
time: 0.001; rss: 1212MB	llvm function passes [19]
time: 0.003; rss: 1212MB	codegen passes [1]
time: 0.001; rss: 1212MB	llvm module passes [19]
time: 0.004; rss: 1212MB	llvm function passes [4]
time: 0.002; rss: 1216MB	llvm module passes [4]
time: 0.011; rss: 1218MB	llvm function passes [6]
time: 0.010; rss: 1225MB	codegen passes [0]
time: 0.017; rss: 1227MB	llvm function passes [5]
time: 0.006; rss: 1227MB	llvm module passes [6]
time: 0.005; rss: 1227MB	llvm module passes [5]
time: 0.013; rss: 1227MB	llvm function passes [0]
time: 0.024; rss: 1231MB	llvm function passes [1]
time: 0.029; rss: 1233MB	codegen passes [3]
time: 0.000; rss: 1233MB	llvm function passes [3]
time: 0.000; rss: 1233MB	llvm module passes [3]
time: 0.001; rss: 1237MB	codegen passes [3]
time: 0.006; rss: 1237MB	llvm module passes [0]
time: 0.012; rss: 1248MB	llvm module passes [1]
time: 0.053; rss: 1254MB	codegen passes [19]
time: 0.000; rss: 1254MB	llvm function passes [19]
time: 0.000; rss: 1254MB	llvm module passes [19]
time: 0.001; rss: 1254MB	codegen passes [19]
time: 0.050; rss: 1254MB	llvm function passes [14]
time: 0.037; rss: 1254MB	llvm function passes [17]
time: 0.008; rss: 1254MB	llvm module passes [14]
time: 0.012; rss: 1254MB	llvm module passes [17]
time: 0.032; rss: 1254MB	llvm function passes [9]
time: 0.080; rss: 1263MB	codegen passes [2]
time: 0.000; rss: 1263MB	llvm function passes [10]
