commit 7a187c39c79e21cd61d1688d449bdd52d7510281
Merge: 824000a 0cb5073
Author: bors <bors@rust-lang.org>
Date:   Wed Aug 31 09:38:36 2016 -0700

    Auto merge of #36166 - jonathandturner:rollup, r=jonathandturner
    
    Rollup of 16 pull requests
    
    - Successful merges: #35758, #35926, #36050, #36079, #36085, #36089, #36101, #36130, #36134, #36135, #36136, #36140, #36141, #36147, #36148, #36165
    - Failed merges:
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.021; rss: 50MB	parsing
Lines of code:             6441
Pre-expansion node count:  30069
time: 0.002; rss: 51MB	configuration
time: 0.000; rss: 51MB	recursion limit
time: 0.000; rss: 51MB	crate injection
time: 0.000; rss: 51MB	plugin loading
time: 0.000; rss: 51MB	plugin registration
time: 0.038; rss: 73MB	expansion
time: 0.000; rss: 73MB	maybe building test harness
time: 0.002; rss: 73MB	assigning node ids
Post-expansion node count: 40757
time: 0.000; rss: 73MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 73MB	complete gated feature checking
time: 0.001; rss: 73MB	collecting defs
time: 0.001; rss: 74MB	external crate/lib resolution
time: 0.001; rss: 74MB	early lint checks
time: 0.000; rss: 74MB	AST validation
time: 0.004; rss: 74MB	name resolution
time: 0.004; rss: 78MB	lowering ast -> hir
time: 0.001; rss: 78MB	indexing hir
time: 0.000; rss: 78MB	attribute checking
time: 0.000; rss: 77MB	language item collection
time: 0.001; rss: 77MB	lifetime resolution
time: 0.000; rss: 77MB	looking for entry point
time: 0.000; rss: 77MB	looking for plugin registrar
time: 0.002; rss: 78MB	region resolution
time: 0.000; rss: 78MB	loop checking
time: 0.000; rss: 78MB	static item recursion checking
time: 0.005; rss: 79MB	compute_incremental_hashes_map
time: 0.000; rss: 79MB	load_dep_graph
time: 0.008; rss: 80MB	type collecting
time: 0.000; rss: 80MB	variance inference
time: 0.016; rss: 83MB	coherence checking
time: 0.014; rss: 84MB	wf checking
time: 0.011; rss: 84MB	item-types checking
time: 0.157; rss: 89MB	item-bodies checking
time: 0.000; rss: 89MB	drop-impl checking
time: 0.012; rss: 89MB	const checking
time: 0.002; rss: 89MB	privacy checking
time: 0.000; rss: 89MB	stability index
time: 0.002; rss: 89MB	intrinsic checking
time: 0.000; rss: 89MB	effect checking
time: 0.007; rss: 89MB	match checking
time: 0.002; rss: 89MB	liveness checking
time: 0.007; rss: 89MB	rvalue checking
time: 0.021; rss: 100MB	MIR dump
time: 0.014; rss: 100MB	MIR passes
time: 0.022; rss: 100MB	borrow checking
time: 0.000; rss: 100MB	reachability checking
time: 0.001; rss: 100MB	death checking
time: 0.002; rss: 100MB	stability checking
time: 0.000; rss: 100MB	unused lib feature checking
time: 0.020; rss: 100MB	lint checking
makefile:2: recipe for target 'all' failed
done
