commit 6c9bb42ecc48ffb5a3c8b61e220b11adc3a46384
Merge: 7f2d2af a8535ce
Author: bors <bors@rust-lang.org>
Date:   Fri Dec 30 18:24:27 2016 +0000

    Auto merge of #38658 - alexcrichton:less-docs, r=nikomatsakis
    
    std: Don't build docs for misc facade crates
    
    Retain the same behavior as stable.
    
    Closes #38319
rustc 1.15.0-nightly (daf8c1dfc 2016-12-05)
-rwxr-xr-x 1 root root 9432 Dec  6 15:39 /usr/local/bin/rustc
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.095; rss: 86MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 89MB	recursion limit
time: 0.000; rss: 89MB	crate injection
time: 0.000; rss: 89MB	plugin loading
time: 0.000; rss: 89MB	plugin registration
time: 0.245; rss: 164MB	expansion
time: 0.000; rss: 164MB	maybe building test harness
time: 0.006; rss: 164MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 164MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 164MB	complete gated feature checking
time: 0.025; rss: 164MB	early lint checks
time: 0.007; rss: 164MB	AST validation
time: 0.077; rss: 179MB	name resolution
time: 0.059; rss: 212MB	lowering ast -> hir
time: 0.010; rss: 205MB	indexing hir
time: 0.006; rss: 205MB	attribute checking
time: 0.002; rss: 167MB	language item collection
time: 0.011; rss: 169MB	lifetime resolution
time: 0.000; rss: 169MB	looking for entry point
time: 0.000; rss: 169MB	looking for plugin registrar
time: 0.047; rss: 189MB	region resolution
time: 0.008; rss: 189MB	loop checking
time: 0.002; rss: 189MB	static item recursion checking
time: 0.389; rss: 190MB	compute_incremental_hashes_map
time: 0.000; rss: 190MB	load_dep_graph
time: 0.009; rss: 190MB	stability index
time: 0.021; rss: 195MB	stability checking
time: 0.057; rss: 203MB	type collecting
time: 0.004; rss: 203MB	variance inference
time: 0.006; rss: 206MB	impl wf inference
time: 0.026; rss: 210MB	coherence checking
time: 0.087; rss: 212MB	wf checking
time: 0.204; rss: 222MB	item-types checking
time: 3.644; rss: 280MB	item-bodies checking
time: 0.000; rss: 280MB	drop-impl checking
time: 0.222; rss: 290MB	const checking
time: 0.058; rss: 290MB	privacy checking
time: 0.019; rss: 297MB	intrinsic checking
time: 0.016; rss: 297MB	effect checking
time: 0.050; rss: 297MB	match checking
time: 0.049; rss: 304MB	liveness checking
time: 0.182; rss: 306MB	rvalue checking
time: 0.356; rss: 495MB	MIR dump
  time: 0.058; rss: 496MB	SimplifyCfg
  time: 0.078; rss: 496MB	QualifyAndPromoteConstants
  time: 0.112; rss: 496MB	TypeckMir
  time: 0.005; rss: 496MB	SimplifyBranches
  time: 0.031; rss: 496MB	SimplifyCfg
time: 0.284; rss: 496MB	MIR cleanup and validation
time: 0.514; rss: 513MB	borrow checking
time: 0.022; rss: 513MB	reachability checking
time: 0.044; rss: 513MB	death checking
time: 0.000; rss: 513MB	unused lib feature checking
time: 0.194; rss: 513MB	lint checking
time: 0.000; rss: 513MB	resolving dependency formats
  time: 0.004; rss: 513MB	NoLandingPads
  time: 0.029; rss: 513MB	SimplifyCfg
  time: 0.069; rss: 520MB	EraseRegions
  time: 0.013; rss: 520MB	AddCallGuards
  time: 0.282; rss: 542MB	ElaborateDrops
  time: 0.004; rss: 542MB	NoLandingPads
  time: 0.054; rss: 541MB	SimplifyCfg
  time: 0.030; rss: 540MB	InstCombine
  time: 0.014; rss: 540MB	Deaggregator
  time: 0.004; rss: 540MB	CopyPropagation
  time: 0.035; rss: 540MB	SimplifyLocals
  time: 0.010; rss: 540MB	AddCallGuards
  time: 0.003; rss: 540MB	PreTrans
time: 0.550; rss: 540MB	MIR optimisations
  time: 0.066; rss: 549MB	write metadata
  time: 0.400; rss: 561MB	translation item collection
  time: 0.075; rss: 565MB	codegen unit partitioning
  time: 0.050; rss: 1468MB	internalize symbols
time: 13.389; rss: 1468MB	translation
time: 0.000; rss: 1468MB	assert dep graph
time: 1.353; rss: 1496MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1217MB	llvm function passes [1]
time: 0.001; rss: 1222MB	llvm function passes [0]
time: 0.000; rss: 1222MB	llvm module passes [1]
time: 0.000; rss: 1222MB	llvm module passes [0]
time: 0.002; rss: 1228MB	llvm function passes [3]
time: 0.000; rss: 1228MB	llvm module passes [3]
time: 0.004; rss: 1228MB	llvm function passes [2]
time: 0.000; rss: 1228MB	llvm module passes [2]
time: 0.003; rss: 1228MB	codegen passes [1]
time: 0.006; rss: 1230MB	llvm function passes [5]
time: 0.002; rss: 1230MB	llvm module passes [5]
time: 0.007; rss: 1230MB	codegen passes [0]
time: 0.001; rss: 1230MB	llvm function passes [0]
time: 0.001; rss: 1230MB	llvm module passes [0]
time: 0.018; rss: 1230MB	llvm function passes [7]
time: 0.021; rss: 1240MB	llvm function passes [4]
time: 0.016; rss: 1240MB	codegen passes [3]
time: 0.009; rss: 1240MB	llvm module passes [4]
time: 0.013; rss: 1240MB	llvm module passes [7]
time: 0.019; rss: 1266MB	llvm function passes [13]
time: 0.004; rss: 1268MB	llvm function passes [20]
time: 0.001; rss: 1268MB	llvm module passes [20]
time: 0.058; rss: 1277MB	codegen passes [0]
time: 0.001; rss: 1277MB	llvm function passes [0]
time: 0.000; rss: 1277MB	llvm module passes [0]
time: 0.001; rss: 1281MB	llvm function passes [16]
time: 0.000; rss: 1281MB	llvm module passes [16]
time: 0.023; rss: 1281MB	llvm module passes [13]
time: 0.006; rss: 1281MB	codegen passes [0]
time: 0.000; rss: 1281MB	llvm function passes [0]
time: 0.000; rss: 1281MB	llvm module passes [0]
time: 0.005; rss: 1281MB	codegen passes [0]
time: 0.058; rss: 1287MB	llvm function passes [8]
time: 0.052; rss: 1288MB	llvm function passes [15]
