commit 766f6e4782994ff9f0b0cad9af9cd63b5a2d0f0d
Merge: 8289a89 28548db
Author: bors <bors@rust-lang.org>
Date:   Mon Nov 14 06:00:27 2016 -0800

    Auto merge of #37755 - polo-language:doc-punct, r=GuillaumeGomez
    
    Improved punctuation, capitalization, and sentence structure of code snippet comments
    
    r? @GuillaumeGomez
rustc: ./syntex-0.42.2
cargo rustc -p syntex_syntax  -- -Ztime-passes -Zinput-stats
   Compiling syntex_syntax v0.42.0
time: 0.092; rss: 71MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 71MB	recursion limit
time: 0.000; rss: 71MB	crate injection
time: 0.000; rss: 71MB	plugin loading
time: 0.000; rss: 71MB	plugin registration
time: 0.233; rss: 144MB	expansion
time: 0.000; rss: 144MB	maybe building test harness
time: 0.006; rss: 144MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 144MB	checking for inline asm in case the target doesn't support it
time: 0.013; rss: 144MB	complete gated feature checking
time: 0.023; rss: 144MB	early lint checks
time: 0.007; rss: 144MB	AST validation
time: 0.076; rss: 159MB	name resolution
time: 0.044; rss: 184MB	lowering ast -> hir
time: 0.008; rss: 194MB	indexing hir
time: 0.006; rss: 194MB	attribute checking
time: 0.005; rss: 151MB	language item collection
time: 0.010; rss: 151MB	lifetime resolution
time: 0.000; rss: 151MB	looking for entry point
time: 0.000; rss: 151MB	looking for plugin registrar
time: 0.041; rss: 171MB	region resolution
time: 0.005; rss: 171MB	loop checking
time: 0.005; rss: 171MB	static item recursion checking
time: 0.326; rss: 172MB	compute_incremental_hashes_map
time: 0.000; rss: 172MB	load_dep_graph
time: 0.047; rss: 176MB	type collecting
time: 0.001; rss: 176MB	variance inference
time: 0.018; rss: 178MB	coherence checking
time: 0.092; rss: 180MB	wf checking
time: 0.182; rss: 183MB	item-types checking
time: 3.309; rss: 233MB	item-bodies checking
time: 0.000; rss: 233MB	drop-impl checking
time: 0.216; rss: 253MB	const checking
time: 0.045; rss: 254MB	privacy checking
time: 0.005; rss: 254MB	stability index
time: 0.017; rss: 254MB	intrinsic checking
time: 0.014; rss: 254MB	effect checking
time: 0.045; rss: 254MB	match checking
time: 0.049; rss: 239MB	liveness checking
time: 0.176; rss: 239MB	rvalue checking
time: 0.374; rss: 436MB	MIR dump
  time: 0.057; rss: 438MB	SimplifyCfg
  time: 0.073; rss: 438MB	QualifyAndPromoteConstants
  time: 0.098; rss: 438MB	TypeckMir
  time: 0.004; rss: 438MB	SimplifyBranches
  time: 0.031; rss: 438MB	SimplifyCfg
time: 0.262; rss: 438MB	MIR cleanup and validation
time: 0.480; rss: 439MB	borrow checking
time: 0.020; rss: 439MB	reachability checking
time: 0.039; rss: 439MB	death checking
time: 0.031; rss: 443MB	stability checking
time: 0.000; rss: 443MB	unused lib feature checking
time: 0.196; rss: 443MB	lint checking
time: 0.000; rss: 443MB	resolving dependency formats
  time: 0.003; rss: 443MB	NoLandingPads
  time: 0.026; rss: 443MB	SimplifyCfg
  time: 0.060; rss: 449MB	EraseRegions
  time: 0.011; rss: 449MB	AddCallGuards
  time: 0.267; rss: 464MB	ElaborateDrops
  time: 0.003; rss: 464MB	NoLandingPads
  time: 0.052; rss: 464MB	SimplifyCfg
  time: 0.028; rss: 464MB	InstCombine
  time: 0.012; rss: 464MB	Deaggregator
  time: 0.002; rss: 464MB	CopyPropagation
  time: 0.034; rss: 464MB	SimplifyLocals
  time: 0.010; rss: 464MB	AddCallGuards
  time: 0.003; rss: 464MB	PreTrans
time: 0.512; rss: 464MB	MIR optimisations
  time: 0.061; rss: 475MB	write metadata
  time: 0.390; rss: 491MB	translation item collection
  time: 0.065; rss: 498MB	codegen unit partitioning
  time: 0.047; rss: 739MB	internalize symbols
time: 4.412; rss: 739MB	translation
time: 0.000; rss: 739MB	assert dep graph
time: 0.000; rss: 739MB	serialize dep graph
  time: 0.516; rss: 419MB	llvm function passes [0]
  time: 0.247; rss: 429MB	llvm module passes [0]
  time: 10.265; rss: 420MB	codegen passes [0]
  time: 0.000; rss: 420MB	codegen passes [0]
time: 11.783; rss: 420MB	LLVM passes
time: 0.000; rss: 420MB	serialize work products
time: 0.364; rss: 106MB	linking
done
