commit 338cdd7e05a7202cdfc1319376b2c6c66d9ccab1
Merge: 483fb8f 27ee3fe
Author: bors <bors@rust-lang.org>
Date:   Tue Nov 24 23:24:18 2015 +0000

    Auto merge of #30016 - alexcrichton:fix-off-by-one, r=brson
    
    Typical algebra currently doesn't work on the types in std::time currently (see
    [this comment][comment]), so tweak the tests to account for this property.
    
    [comment]: https://github.com/rust-lang/rust/issues/29866#issuecomment-159093809
    
    Closes #29970
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.028; rss: 41MB	parsing
time: 0.009; rss: 41MB	configuration 1
time: 0.000; rss: 41MB	recursion limit
time: 0.000; rss: 41MB	gated macro checking
time: 0.000; rss: 41MB	crate injection
time: 0.004; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.172; rss: 56MB	expansion
time: 0.005; rss: 56MB	complete gated feature checking 1
time: 0.030; rss: 56MB	configuration 2
time: 0.000; rss: 56MB	gated configuration checking
time: 0.012; rss: 56MB	maybe building test harness
time: 0.010; rss: 56MB	prelude injection
time: 0.001; rss: 56MB	checking that all macro invocations are gone
time: 0.000; rss: 56MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 56MB	complete gated feature checking 2
time: 0.010; rss: 56MB	assigning node ids
time: 0.008; rss: 60MB	lowering ast -> hir
time: 0.005; rss: 62MB	indexing hir
time: 0.000; rss: 62MB	attribute checking
time: 0.005; rss: 62MB	early lint checks
time: 0.003; rss: 64MB	external crate/lib resolution
time: 0.001; rss: 64MB	language item collection
time: 0.030; rss: 89MB	resolution
time: 0.002; rss: 89MB	lifetime resolution
time: 0.000; rss: 89MB	looking for entry point
time: 0.000; rss: 89MB	looking for plugin registrar
time: 0.006; rss: 89MB	region resolution
time: 0.001; rss: 89MB	loop checking
time: 0.001; rss: 89MB	static item recursion checking
time: 0.013; rss: 93MB	type collecting
time: 0.000; rss: 93MB	variance inference
time: 0.037; rss: 112MB	coherence checking
time: 0.027; rss: 114MB	wf checking (old)
time: 0.025; rss: 114MB	item-types checking
time: 0.530; rss: 131MB	item-bodies checking
time: 0.000; rss: 131MB	drop-impl checking
time: 0.088; rss: 131MB	wf checking (new)
time: 0.042; rss: 131MB	const checking
time: 0.009; rss: 131MB	privacy checking
time: 0.001; rss: 131MB	stability index
time: 0.004; rss: 131MB	intrinsic checking
time: 0.002; rss: 131MB	effect checking
time: 0.012; rss: 131MB	match checking
time: 0.053; rss: 144MB	MIR dump
time: 0.006; rss: 146MB	liveness checking
time: 0.072; rss: 146MB	borrow checking
time: 0.034; rss: 146MB	rvalue checking
time: 0.003; rss: 146MB	reachability checking
time: 0.006; rss: 146MB	death checking
time: 0.005; rss: 146MB	stability checking
time: 0.000; rss: 146MB	unused lib feature checking
time: 0.041; rss: 146MB	lint checking
time: 0.000; rss: 146MB	resolving dependency formats
time: 0.008; rss: 151MB	erasing regions from MIR
time: 1.411; rss: 287MB	translation
  time: 0.100; rss: 176MB	llvm function passes [0]
  time: 0.051; rss: 177MB	llvm module passes [0]
  time: 1.680; rss: 221MB	codegen passes [0]
  time: 0.001; rss: 180MB	codegen passes [0]
time: 2.055; rss: 180MB	LLVM passes
time: 0.173; rss: 181MB	linking
done
