commit e1b67776dbb65e4ad256d27d9d215c643a4df57b
Merge: a8d189a 1554993
Author: bors <bors@rust-lang.org>
Date:   Fri Oct 14 19:33:04 2016 -0700

    Auto merge of #35704 - tbu-:pr_pread_pwrite, r=alexcrichton
    
    Implement `read_offset` and `write_offset`
    
    These functions allow to read from and write to a file from multiple
    threads without changing the per-file cursor, avoiding the race between
    the seek and the read.
rustc: ./html5ever-2016-08-25
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling html5ever v0.5.4 (file:///root/benchmarks/html5ever-2016-08-25)
time: 0.027; rss: 51MB	parsing
Lines of code:             8210
Pre-expansion node count:  52238
time: 0.000; rss: 51MB	recursion limit
time: 0.000; rss: 51MB	crate injection
time: 0.000; rss: 51MB	plugin loading
time: 0.000; rss: 51MB	plugin registration
time: 1.248; rss: 104MB	expansion
time: 0.000; rss: 104MB	maybe building test harness
time: 0.002; rss: 104MB	maybe creating a macro crate
Post-expansion node count: 163524
time: 0.000; rss: 104MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 104MB	complete gated feature checking
time: 0.009; rss: 104MB	early lint checks
time: 0.002; rss: 104MB	AST validation
time: 0.018; rss: 107MB	name resolution
time: 0.016; rss: 123MB	lowering ast -> hir
time: 0.004; rss: 127MB	indexing hir
time: 0.002; rss: 127MB	attribute checking
time: 0.002; rss: 105MB	language item collection
time: 0.003; rss: 105MB	lifetime resolution
time: 0.000; rss: 105MB	looking for entry point
time: 0.000; rss: 105MB	looking for plugin registrar
time: 0.015; rss: 111MB	region resolution
time: 0.002; rss: 111MB	loop checking
time: 0.002; rss: 111MB	static item recursion checking
time: 0.022; rss: 112MB	compute_incremental_hashes_map
time: 0.000; rss: 112MB	load_dep_graph
time: 0.009; rss: 113MB	type collecting
time: 0.000; rss: 113MB	variance inference
time: 0.024; rss: 116MB	coherence checking
time: 0.024; rss: 116MB	wf checking
time: 0.350; rss: 128MB	item-types checking
time: 0.503; rss: 138MB	item-bodies checking
time: 0.000; rss: 138MB	drop-impl checking
time: 0.070; rss: 141MB	const checking
time: 0.009; rss: 141MB	privacy checking
time: 0.002; rss: 141MB	stability index
time: 0.004; rss: 141MB	intrinsic checking
time: 0.004; rss: 141MB	effect checking
time: 0.024; rss: 142MB	match checking
time: 0.013; rss: 135MB	liveness checking
time: 0.028; rss: 135MB	rvalue checking
time: 0.116; rss: 181MB	MIR dump
  time: 0.008; rss: 182MB	SimplifyCfg
  time: 0.015; rss: 182MB	QualifyAndPromoteConstants
  time: 0.024; rss: 182MB	TypeckMir
  time: 0.000; rss: 182MB	SimplifyBranches
  time: 0.004; rss: 182MB	SimplifyCfg
time: 0.051; rss: 182MB	MIR passes
time: 0.092; rss: 185MB	borrow checking
time: 0.003; rss: 185MB	reachability checking
time: 0.007; rss: 185MB	death checking
time: 0.009; rss: 185MB	stability checking
time: 0.000; rss: 185MB	unused lib feature checking
time: 0.065; rss: 184MB	lint checking
time: 0.000; rss: 184MB	resolving dependency formats
  time: 0.000; rss: 184MB	NoLandingPads
  time: 0.004; rss: 184MB	SimplifyCfg
  time: 0.010; rss: 184MB	EraseRegions
  time: 0.001; rss: 184MB	AddCallGuards
  time: 0.102; rss: 191MB	ElaborateDrops
  time: 0.000; rss: 191MB	NoLandingPads
  time: 0.007; rss: 187MB	SimplifyCfg
  time: 0.007; rss: 186MB	InstCombine
  time: 0.001; rss: 186MB	Deaggregator
  time: 0.000; rss: 186MB	CopyPropagation
  time: 0.001; rss: 186MB	AddCallGuards
  time: 0.000; rss: 186MB	PreTrans
time: 0.134; rss: 186MB	Prepare MIR codegen passes
  time: 0.052; rss: 186MB	write metadata
  time: 0.049; rss: 188MB	translation item collection
  time: 0.005; rss: 188MB	codegen unit partitioning
  time: 0.006; rss: 203MB	internalize symbols
time: 0.360; rss: 173MB	translation
time: 0.000; rss: 173MB	assert dep graph
time: 0.000; rss: 173MB	serialize dep graph
  time: 0.021; rss: 103MB	llvm function passes [0]
  time: 0.012; rss: 105MB	llvm module passes [0]
  time: 0.457; rss: 109MB	codegen passes [0]
  time: 0.001; rss: 109MB	codegen passes [0]
time: 0.529; rss: 109MB	LLVM passes
time: 0.000; rss: 109MB	serialize work products
time: 0.058; rss: 92MB	linking
done
