commit b324fa7204dbdc17544d4402ffd0b1964df326f7
Merge: d007824 ec44ddc
Author: bors <bors@rust-lang.org>
Date:   Mon Apr 18 12:03:14 2016 -0700

    Auto merge of #33081 - steveklabnik:rollup, r=steveklabnik
    
    Rollup of 6 pull requests
    
    - Successful merges: #32558, #32906, #33007, #33008, #33035, #33058
    - Failed merges: #32912
rustc: ./jld-day15-parser
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling day15 v0.1.0 (file:///root/benchmarks/jld-day15-parser)
time: 0.001; rss: 32MB	parsing
Lines of code:             72
Pre-expansion node count:  673
time: 0.000; rss: 32MB	configuration 1
time: 0.000; rss: 32MB	recursion limit
time: 0.000; rss: 32MB	gated macro checking
time: 0.000; rss: 32MB	crate injection
time: 0.003; rss: 37MB	macro loading
time: 0.000; rss: 37MB	plugin loading
time: 0.000; rss: 37MB	plugin registration
time: 0.002; rss: 38MB	expansion
time: 0.000; rss: 38MB	complete gated feature checking 1
time: 0.000; rss: 38MB	configuration 2
time: 0.000; rss: 38MB	gated configuration checking
time: 0.000; rss: 38MB	maybe building test harness
time: 0.000; rss: 38MB	prelude injection
time: 0.000; rss: 38MB	checking that all macro invocations are gone
time: 0.000; rss: 38MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 38MB	complete gated feature checking 2
time: 0.000; rss: 38MB	const fn bodies and arguments
Post-expansion node count: 1176
time: 0.000; rss: 38MB	assigning node ids
time: 0.000; rss: 38MB	lowering ast -> hir
time: 0.000; rss: 38MB	indexing hir
time: 0.000; rss: 38MB	attribute checking
time: 0.000; rss: 38MB	early lint checks
time: 0.002; rss: 38MB	external crate/lib resolution
time: 0.000; rss: 40MB	language item collection
time: 0.001; rss: 47MB	resolution
time: 0.000; rss: 47MB	lifetime resolution
time: 0.000; rss: 47MB	looking for entry point
time: 0.000; rss: 47MB	looking for plugin registrar
time: 0.000; rss: 47MB	region resolution
time: 0.000; rss: 47MB	loop checking
time: 0.000; rss: 47MB	static item recursion checking
time: 0.000; rss: 47MB	load_dep_graph
time: 0.001; rss: 50MB	type collecting
time: 0.000; rss: 50MB	variance inference
time: 0.005; rss: 57MB	coherence checking
time: 0.010; rss: 63MB	wf checking
time: 0.000; rss: 63MB	item-types checking
time: 1.863; rss: 134MB	item-bodies checking
time: 0.000; rss: 134MB	drop-impl checking
time: 0.001; rss: 134MB	const checking
time: 0.000; rss: 134MB	privacy checking
time: 0.000; rss: 134MB	stability index
time: 0.000; rss: 134MB	intrinsic checking
time: 0.000; rss: 134MB	effect checking
time: 0.000; rss: 134MB	match checking
time: 0.000; rss: 134MB	liveness checking
time: 0.002; rss: 134MB	rvalue checking
time: 0.001; rss: 135MB	MIR dump
time: 0.000; rss: 135MB	MIR passes
time: 0.001; rss: 135MB	borrow checking
time: 0.000; rss: 135MB	reachability checking
time: 0.000; rss: 135MB	death checking
time: 0.000; rss: 135MB	stability checking
time: 0.000; rss: 135MB	unused lib feature checking
time: 0.004; rss: 136MB	lint checking
time: 0.001; rss: 136MB	resolving dependency formats
time: 0.000; rss: 136MB	Prepare MIR codegen passes
  time: 12.511; rss: 182MB	translation item collection
  time: 0.001; rss: 182MB	codegen unit partitioning
  time: 0.000; rss: 217MB	write metadata
time: 39.090; rss: 217MB	translation
time: 0.000; rss: 217MB	assert dep graph
time: 0.000; rss: 217MB	serialize dep graph
  time: 0.014; rss: 99MB	llvm function passes [0]
  time: 0.001; rss: 99MB	llvm module passes [0]
  time: 0.273; rss: 105MB	codegen passes [0]
  time: 0.000; rss: 98MB	codegen passes [0]
time: 0.297; rss: 98MB	LLVM passes
  time: 0.116; rss: 98MB	running linker
time: 0.116; rss: 98MB	linking
done
