commit 3fef221514ab31088f75d14516c851e68a70cf9e
Merge: 5f128ed bc3618e
Author: bors <bors@rust-lang.org>
Date:   Wed Dec 7 00:30:25 2016 +0000

    Auto merge of #38134 - bluss:iter-nth, r=aturon
    
    Remove Self: Sized from Iterator::nth
    
    It is an unnecessary restriction; nth neither needs self to be sized
    nor needs to be exempted from the trait object.
    
    It increases the utility of the nth method, because type specific
    implementations are available through `&mut I` or through an iterator
    trait object.
    
    It is a backwards compatible change due to the special cases of the
    `where Self: Sized` bound; it was already optional to include this bound
    in `Iterator` implementations.
rustc: ./syntex-0.42.2@010-incr@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.242; rss: 152MB	expansion
time: 0.000; rss: 152MB	maybe building test harness
time: 0.006; rss: 152MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 152MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 152MB	complete gated feature checking
time: 0.023; rss: 152MB	early lint checks
time: 0.007; rss: 152MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.058; rss: 200MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.046; rss: 177MB	region resolution
time: 0.007; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.019; rss: 182MB	stability checking
time: 0.055; rss: 189MB	type collecting
time: 0.003; rss: 189MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.087; rss: 199MB	wf checking
time: 0.195; rss: 207MB	item-types checking
time: 3.570; rss: 267MB	item-bodies checking
time: 0.000; rss: 267MB	drop-impl checking
time: 0.216; rss: 276MB	const checking
time: 0.058; rss: 277MB	privacy checking
time: 0.021; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.048; rss: 283MB	match checking
time: 0.046; rss: 290MB	liveness checking
time: 0.172; rss: 292MB	rvalue checking
time: 0.362; rss: 482MB	MIR dump
  time: 0.057; rss: 483MB	SimplifyCfg
  time: 0.075; rss: 483MB	QualifyAndPromoteConstants
  time: 0.120; rss: 500MB	TypeckMir
  time: 0.004; rss: 500MB	SimplifyBranches
  time: 0.031; rss: 500MB	SimplifyCfg
time: 0.286; rss: 500MB	MIR cleanup and validation
time: 0.472; rss: 501MB	borrow checking
time: 0.024; rss: 501MB	reachability checking
time: 0.038; rss: 501MB	death checking
time: 0.000; rss: 501MB	unused lib feature checking
time: 0.179; rss: 501MB	lint checking
time: 0.000; rss: 501MB	resolving dependency formats
  time: 0.003; rss: 501MB	NoLandingPads
  time: 0.027; rss: 501MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.271; rss: 529MB	ElaborateDrops
  time: 0.004; rss: 529MB	NoLandingPads
  time: 0.053; rss: 529MB	SimplifyCfg
  time: 0.028; rss: 529MB	InstCombine
  time: 0.012; rss: 529MB	Deaggregator
  time: 0.003; rss: 529MB	CopyPropagation
  time: 0.035; rss: 529MB	SimplifyLocals
  time: 0.010; rss: 529MB	AddCallGuards
  time: 0.003; rss: 529MB	PreTrans
time: 0.524; rss: 529MB	MIR optimisations
  time: 0.064; rss: 538MB	write metadata
  time: 0.393; rss: 551MB	translation item collection
  time: 0.072; rss: 556MB	codegen unit partitioning
  time: 0.048; rss: 1458MB	internalize symbols
time: 12.053; rss: 1458MB	translation
time: 0.000; rss: 1458MB	assert dep graph
time: 1.367; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1195MB	llvm function passes [1]
time: 0.000; rss: 1197MB	llvm module passes [1]
time: 0.001; rss: 1203MB	llvm function passes [0]
time: 0.000; rss: 1203MB	llvm module passes [0]
time: 0.002; rss: 1214MB	llvm function passes [3]
time: 0.002; rss: 1214MB	llvm function passes [2]
time: 0.000; rss: 1214MB	llvm module passes [2]
time: 0.002; rss: 1214MB	codegen passes [1]
time: 0.004; rss: 1214MB	llvm function passes [6]
time: 0.000; rss: 1214MB	llvm module passes [3]
time: 0.005; rss: 1214MB	codegen passes [0]
time: 0.001; rss: 1214MB	llvm function passes [0]
time: 0.000; rss: 1214MB	llvm module passes [0]
time: 0.005; rss: 1214MB	llvm module passes [6]
time: 0.011; rss: 1214MB	llvm function passes [5]
time: 0.011; rss: 1214MB	llvm function passes [4]
time: 0.006; rss: 1221MB	llvm module passes [5]
time: 0.006; rss: 1221MB	llvm module passes [4]
time: 0.019; rss: 1231MB	codegen passes [3]
time: 0.000; rss: 1233MB	llvm function passes [23]
time: 0.000; rss: 1233MB	llvm module passes [23]
time: 0.001; rss: 1233MB	codegen passes [23]
time: 0.003; rss: 1233MB	llvm function passes [23]
time: 0.001; rss: 1233MB	llvm module passes [23]
time: 0.017; rss: 1233MB	llvm function passes [19]
time: 0.008; rss: 1244MB	llvm module passes [19]
time: 0.047; rss: 1253MB	llvm function passes [17]
time: 0.061; rss: 1253MB	codegen passes [0]
time: 0.000; rss: 1253MB	llvm function passes [0]
time: 0.000; rss: 1253MB	llvm module passes [0]
time: 0.004; rss: 1253MB	codegen passes [0]
time: 0.054; rss: 1253MB	llvm function passes [9]
