commit f150c178ea8275fab158bc7fe2a3b5af9ab8f3fe
Merge: 9ea4b4f 7bd69f2
Author: bors <bors@rust-lang.org>
Date:   Mon Dec 14 19:14:37 2015 +0000

    Auto merge of #27937 - DiamondLovesYou:llvm-root-and-shared, r=alexcrichton
    
    This handles cases when the LLVM used isn't configured will the 'usual' targets. Also, cases where LLVM is shared are also handled (ie with `LD_LIBRARY_PATH` etc).
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.029; rss: 39MB	parsing
time: 0.010; rss: 42MB	configuration 1
time: 0.000; rss: 42MB	recursion limit
time: 0.000; rss: 42MB	gated macro checking
time: 0.000; rss: 42MB	crate injection
time: 0.004; rss: 47MB	macro loading
time: 0.000; rss: 47MB	plugin loading
time: 0.000; rss: 47MB	plugin registration
time: 0.191; rss: 57MB	expansion
time: 0.005; rss: 57MB	complete gated feature checking 1
time: 0.034; rss: 57MB	configuration 2
time: 0.000; rss: 57MB	gated configuration checking
time: 0.014; rss: 57MB	maybe building test harness
time: 0.011; rss: 57MB	prelude injection
time: 0.001; rss: 57MB	checking that all macro invocations are gone
time: 0.000; rss: 57MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 57MB	complete gated feature checking 2
time: 0.011; rss: 57MB	assigning node ids
time: 0.011; rss: 62MB	lowering ast -> hir
time: 0.005; rss: 64MB	indexing hir
time: 0.000; rss: 64MB	attribute checking
time: 0.005; rss: 64MB	early lint checks
time: 0.003; rss: 66MB	external crate/lib resolution
time: 0.001; rss: 66MB	language item collection
time: 0.026; rss: 93MB	resolution
time: 0.002; rss: 93MB	lifetime resolution
time: 0.000; rss: 93MB	looking for entry point
time: 0.000; rss: 93MB	looking for plugin registrar
time: 0.006; rss: 93MB	region resolution
time: 0.001; rss: 93MB	loop checking
time: 0.001; rss: 93MB	static item recursion checking
time: 0.013; rss: 97MB	type collecting
time: 0.000; rss: 97MB	variance inference
time: 0.038; rss: 118MB	coherence checking
time: 0.028; rss: 118MB	wf checking (old)
time: 0.026; rss: 118MB	item-types checking
time: 0.550; rss: 141MB	item-bodies checking
time: 0.000; rss: 141MB	drop-impl checking
time: 0.088; rss: 141MB	wf checking (new)
time: 0.042; rss: 141MB	const checking
time: 0.009; rss: 141MB	privacy checking
time: 0.001; rss: 141MB	stability index
time: 0.004; rss: 141MB	intrinsic checking
time: 0.002; rss: 141MB	effect checking
time: 0.013; rss: 141MB	match checking
time: 0.050; rss: 150MB	MIR dump
time: 0.006; rss: 150MB	liveness checking
time: 0.068; rss: 150MB	borrow checking
time: 0.034; rss: 150MB	rvalue checking
time: 0.003; rss: 150MB	reachability checking
time: 0.006; rss: 150MB	death checking
time: 0.005; rss: 150MB	stability checking
time: 0.000; rss: 150MB	unused lib feature checking
time: 0.045; rss: 150MB	lint checking
time: 0.000; rss: 150MB	resolving dependency formats
time: 0.008; rss: 154MB	erasing regions from MIR
time: 1.459; rss: 291MB	translation
  time: 0.098; rss: 186MB	llvm function passes [0]
  time: 0.051; rss: 186MB	llvm module passes [0]
  time: 1.670; rss: 231MB	codegen passes [0]
  time: 0.001; rss: 224MB	codegen passes [0]
time: 2.044; rss: 184MB	LLVM passes
time: 0.181; rss: 185MB	linking
done
