commit fe36876ce144e6f30fa6d0d5647e54ade812b169
Merge: 7b33876 62fb242
Author: bors <bors@rust-lang.org>
Date:   Sat Oct 1 23:53:35 2016 -0700

    Auto merge of #36853 - TimNN:rustbuild-out-of-tree, r=alexcrichton
    
    fix out-of-tree rustbuild
    
    See https://github.com/rust-lang/rust/pull/36456#issuecomment-250589906
    
    r? @alexcrichton
rustc: ./inflate-0.1.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling inflate v0.1.0 (file:///root/benchmarks/inflate-0.1.0)
time: 0.004; rss: 43MB	parsing
Lines of code:             956
Pre-expansion node count:  4740
time: 0.000; rss: 43MB	recursion limit
time: 0.000; rss: 43MB	crate injection
time: 0.000; rss: 43MB	plugin loading
time: 0.000; rss: 43MB	plugin registration
time: 0.076; rss: 71MB	expansion
time: 0.000; rss: 71MB	maybe building test harness
time: 0.000; rss: 71MB	maybe creating a macro crate
Post-expansion node count: 55750
time: 0.000; rss: 71MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 71MB	complete gated feature checking
time: 0.002; rss: 71MB	early lint checks
time: 0.000; rss: 71MB	AST validation
time: 0.008; rss: 74MB	name resolution
time: 0.006; rss: 78MB	lowering ast -> hir
time: 0.001; rss: 78MB	indexing hir
time: 0.001; rss: 78MB	attribute checking
time: 0.000; rss: 73MB	language item collection
time: 0.001; rss: 73MB	lifetime resolution
time: 0.000; rss: 73MB	looking for entry point
time: 0.000; rss: 73MB	looking for plugin registrar
time: 0.004; rss: 75MB	region resolution
time: 0.000; rss: 75MB	loop checking
time: 0.000; rss: 75MB	static item recursion checking
time: 0.022; rss: 75MB	compute_incremental_hashes_map
time: 0.000; rss: 75MB	load_dep_graph
time: 0.002; rss: 77MB	type collecting
time: 0.000; rss: 77MB	variance inference
time: 0.010; rss: 78MB	coherence checking
time: 0.001; rss: 78MB	wf checking
time: 0.002; rss: 78MB	item-types checking
time: 2.397; rss: 88MB	item-bodies checking
time: 0.000; rss: 88MB	drop-impl checking
time: 0.017; rss: 88MB	const checking
time: 0.001; rss: 88MB	privacy checking
time: 0.000; rss: 88MB	stability index
time: 0.000; rss: 88MB	intrinsic checking
time: 0.001; rss: 88MB	effect checking
time: 0.003; rss: 88MB	match checking
time: 0.067; rss: 88MB	liveness checking
time: 0.013; rss: 88MB	rvalue checking
time: 0.037; rss: 112MB	MIR dump
  time: 0.007; rss: 111MB	SimplifyCfg
  time: 0.005; rss: 111MB	QualifyAndPromoteConstants
  time: 0.007; rss: 111MB	TypeckMir
  time: 0.000; rss: 111MB	SimplifyBranches
  time: 0.004; rss: 111MB	SimplifyCfg
time: 0.023; rss: 111MB	MIR passes
time: 0.202; rss: 109MB	borrow checking
time: 0.000; rss: 109MB	reachability checking
time: 0.003; rss: 109MB	death checking
time: 0.002; rss: 109MB	stability checking
time: 0.000; rss: 109MB	unused lib feature checking
time: 0.018; rss: 112MB	lint checking
time: 0.000; rss: 112MB	resolving dependency formats
  time: 0.000; rss: 112MB	NoLandingPads
  time: 0.002; rss: 112MB	SimplifyCfg
  time: 0.003; rss: 112MB	EraseRegions
  time: 0.001; rss: 112MB	AddCallGuards
  time: 0.126; rss: 114MB	ElaborateDrops
  time: 0.000; rss: 114MB	NoLandingPads
  time: 0.006; rss: 113MB	SimplifyCfg
  time: 0.003; rss: 113MB	InstCombine
  time: 0.000; rss: 113MB	Deaggregator
  time: 0.000; rss: 113MB	CopyPropagation
  time: 0.001; rss: 113MB	AddCallGuards
  time: 0.000; rss: 113MB	PreTrans
time: 0.142; rss: 113MB	Prepare MIR codegen passes
  time: 0.002; rss: 113MB	write metadata
  time: 0.011; rss: 113MB	translation item collection
  time: 0.001; rss: 113MB	codegen unit partitioning
  time: 0.001; rss: 126MB	internalize symbols
time: 0.164; rss: 107MB	translation
time: 0.000; rss: 107MB	assert dep graph
time: 0.000; rss: 107MB	serialize dep graph
  time: 0.028; rss: 88MB	llvm function passes [0]
  time: 0.005; rss: 88MB	llvm module passes [0]
  time: 0.684; rss: 92MB	codegen passes [0]
  time: 0.000; rss: 92MB	codegen passes [0]
time: 0.752; rss: 92MB	LLVM passes
time: 0.000; rss: 92MB	serialize work products
time: 0.046; rss: 80MB	linking
done
