commit 600dc3552ffcdff014cc770e98a67b674496d10a
Merge: 8d5e845 8620bba
Author: bors <bors@rust-lang.org>
Date:   Mon Apr 4 15:37:31 2016 -0700

    Auto merge of #32647 - Amanieu:checked_atomic_intrinsics, r=eddyb
    
    Only allow using the atomic intrinsics on integer types
    
    Using these with non-integer types results in LLVM asserts. Atomic operations on non-integer types will require values be transmuted into an integer type of suitable size.
    
    This doesn't affect the standard library since `AtomicBool` and `AtomicPtr` currently use `usize` for atomic operations.
    
    r? @eddyb
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.031; rss: 46MB	parsing
Lines of code:             9154
Pre-expansion node count:  45594
time: 0.009; rss: 46MB	configuration 1
time: 0.000; rss: 46MB	recursion limit
time: 0.000; rss: 46MB	gated macro checking
time: 0.000; rss: 46MB	crate injection
time: 0.004; rss: 52MB	macro loading
time: 0.000; rss: 52MB	plugin loading
time: 0.000; rss: 52MB	plugin registration
time: 0.187; rss: 61MB	expansion
time: 0.005; rss: 61MB	complete gated feature checking 1
time: 0.033; rss: 61MB	configuration 2
time: 0.000; rss: 61MB	gated configuration checking
time: 0.013; rss: 61MB	maybe building test harness
time: 0.010; rss: 61MB	prelude injection
time: 0.001; rss: 61MB	checking that all macro invocations are gone
time: 0.000; rss: 61MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 61MB	complete gated feature checking 2
time: 0.001; rss: 61MB	const fn bodies and arguments
Post-expansion node count: 107125
time: 0.010; rss: 61MB	assigning node ids
time: 0.011; rss: 67MB	lowering ast -> hir
time: 0.004; rss: 69MB	indexing hir
time: 0.001; rss: 69MB	attribute checking
time: 0.006; rss: 69MB	early lint checks
time: 0.004; rss: 66MB	external crate/lib resolution
time: 0.001; rss: 66MB	language item collection
time: 0.023; rss: 84MB	resolution
time: 0.002; rss: 84MB	lifetime resolution
time: 0.000; rss: 84MB	looking for entry point
time: 0.000; rss: 84MB	looking for plugin registrar
time: 0.006; rss: 87MB	region resolution
time: 0.001; rss: 87MB	loop checking
time: 0.001; rss: 87MB	static item recursion checking
time: 0.019; rss: 96MB	type collecting
time: 0.000; rss: 96MB	variance inference
time: 0.521; rss: 113MB	coherence checking
time: 0.077; rss: 114MB	wf checking
time: 0.028; rss: 116MB	item-types checking
time: 0.490; rss: 136MB	item-bodies checking
time: 0.000; rss: 136MB	drop-impl checking
time: 0.037; rss: 138MB	const checking
time: 0.009; rss: 138MB	privacy checking
time: 0.001; rss: 138MB	stability index
time: 0.004; rss: 138MB	intrinsic checking
time: 0.002; rss: 138MB	effect checking
time: 0.012; rss: 138MB	match checking
time: 0.004; rss: 138MB	liveness checking
time: 0.033; rss: 138MB	rvalue checking
time: 0.047; rss: 145MB	MIR dump
time: 0.021; rss: 145MB	MIR passes
time: 0.064; rss: 145MB	borrow checking
time: 0.003; rss: 145MB	reachability checking
time: 0.006; rss: 145MB	death checking
time: 0.006; rss: 145MB	stability checking
time: 0.000; rss: 145MB	unused lib feature checking
time: 0.046; rss: 145MB	lint checking
time: 0.000; rss: 145MB	resolving dependency formats
time: 0.011; rss: 145MB	Prepare MIR codegen passes
  time: 0.188; rss: 161MB	translation item collection
  time: 0.140; rss: 291MB	write metadata
time: 1.488; rss: 291MB	translation
  time: 0.097; rss: 170MB	llvm function passes [0]
  time: 0.048; rss: 171MB	llvm module passes [0]
  time: 1.636; rss: 176MB	codegen passes [0]
  time: 0.001; rss: 122MB	codegen passes [0]
time: 1.978; rss: 120MB	LLVM passes
time: 0.171; rss: 118MB	linking
done
