commit bfb4212ee2ae658dfd4feb5991ebff55e9ac5240
Merge: 9c53c92 c779e7b
Author: bors <bors@rust-lang.org>
Date:   Fri Jan 1 00:38:43 2016 +0000

    Auto merge of #30648 - tshepang:missing-graves, r=steveklabnik
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.032; rss: 38MB	parsing
Lines of code:             9154
Pre-expansion node count:  45594
time: 0.009; rss: 38MB	configuration 1
time: 0.000; rss: 38MB	recursion limit
time: 0.000; rss: 38MB	gated macro checking
time: 0.000; rss: 38MB	crate injection
time: 0.004; rss: 44MB	macro loading
time: 0.000; rss: 44MB	plugin loading
time: 0.000; rss: 44MB	plugin registration
time: 0.206; rss: 53MB	expansion
time: 0.005; rss: 53MB	complete gated feature checking 1
time: 0.035; rss: 53MB	configuration 2
time: 0.000; rss: 53MB	gated configuration checking
time: 0.013; rss: 53MB	maybe building test harness
time: 0.011; rss: 53MB	prelude injection
time: 0.001; rss: 53MB	checking that all macro invocations are gone
time: 0.000; rss: 53MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 53MB	complete gated feature checking 2
Post-expansion node count: 109258
time: 0.010; rss: 53MB	assigning node ids
time: 0.011; rss: 57MB	lowering ast -> hir
time: 0.005; rss: 61MB	indexing hir
time: 0.000; rss: 61MB	attribute checking
time: 0.005; rss: 61MB	early lint checks
time: 0.003; rss: 58MB	external crate/lib resolution
time: 0.001; rss: 58MB	language item collection
time: 0.031; rss: 80MB	resolution
time: 0.002; rss: 80MB	lifetime resolution
time: 0.000; rss: 80MB	looking for entry point
time: 0.000; rss: 80MB	looking for plugin registrar
time: 0.006; rss: 82MB	region resolution
time: 0.001; rss: 82MB	loop checking
time: 0.001; rss: 82MB	static item recursion checking
time: 0.014; rss: 87MB	type collecting
time: 0.000; rss: 87MB	variance inference
time: 0.039; rss: 106MB	coherence checking
time: 0.066; rss: 106MB	wf checking
time: 0.025; rss: 106MB	item-types checking
time: 0.509; rss: 129MB	item-bodies checking
time: 0.000; rss: 129MB	drop-impl checking
time: 0.043; rss: 131MB	const checking
time: 0.008; rss: 131MB	privacy checking
time: 0.001; rss: 131MB	stability index
time: 0.004; rss: 131MB	intrinsic checking
time: 0.002; rss: 131MB	effect checking
time: 0.013; rss: 131MB	match checking
time: 0.051; rss: 132MB	MIR dump
time: 0.006; rss: 132MB	liveness checking
time: 0.071; rss: 132MB	borrow checking
time: 0.035; rss: 132MB	rvalue checking
time: 0.003; rss: 132MB	reachability checking
time: 0.006; rss: 132MB	death checking
time: 0.006; rss: 132MB	stability checking
time: 0.000; rss: 132MB	unused lib feature checking
time: 0.046; rss: 132MB	lint checking
time: 0.000; rss: 132MB	resolving dependency formats
time: 0.008; rss: 134MB	erasing regions from MIR
  time: 0.135; rss: 273MB	write metadata
time: 1.422; rss: 273MB	translation
  time: 0.100; rss: 167MB	llvm function passes [0]
  time: 0.051; rss: 168MB	llvm module passes [0]
  time: 1.623; rss: 213MB	codegen passes [0]
  time: 0.001; rss: 174MB	codegen passes [0]
time: 1.996; rss: 174MB	LLVM passes
time: 0.174; rss: 172MB	linking
done
